epoch,train_loss,lr,epoch_ts,training_time_seconds,inference_time_seconds,elapsed_time_seconds,cpu_usage_percent,ram_peak_bytes,disk_read_bytes,disk_write_bytes,vram_peak_bytes,gpu_power_watts_avg,gpu_power_watts_peak,gpu_temp_celsius_avg,gpu_temp_celsius_peak,gpu_util_percent_avg,gpu_util_percent_peak,gpu_mem_used_bytes_avg,gpu_mem_used_bytes_peak,gpu_vram_used_bytes,val_accuracy,val_precision,val_recall,val_f1
1,5.1031,0.1,2025-11-20 01:15:54.806,1301.884,39.309,39.2828,3.3,1421110500.0,2097152.0,6512640.0,,342.0926,345.516,63.9026,65.0,99.1667,100.0,17466327040.0,17466327040.0,17466327040.0,0.0444,0.0226,0.0444,0.0193
2,4.8874,0.1,2025-11-20 01:38:06.715,1292.602,39.22,39.1969,3.2531,1421110500.0,0.0,966656.0,,332.4628,336.488,63.2262,64.0,99.3625,100.0,17466327040.0,17466327040.0,17466327040.0,0.0469,0.0555,0.0469,0.0288
3,4.7955,0.1,2025-11-20 02:00:27.399,1301.464,39.217,39.1943,3.2437,1421110500.0,0.0,1138688.0,,320.1773,323.783,62.6041,64.0,99.2905,100.0,17499881472.0,17499881472.0,17499881472.0,0.0556,0.0464,0.0556,0.0316
4,4.7769,0.1,2025-11-20 02:22:48.082,1301.464,39.125,39.1017,3.2406,1421110500.0,0.0,1003520.0,,309.5482,312.628,61.8711,63.0,99.3144,100.0,17499881472.0,17499881472.0,17499881472.0,0.0715,0.0715,0.0715,0.0427
5,4.7776,0.1,2025-11-20 02:44:56.679,1289.472,39.13,39.1153,3.3094,1421110500.0,0.0,1040384.0,,300.7201,303.616,60.6881,61.0,99.4794,100.0,17499881472.0,17499881472.0,17499881472.0,0.0661,0.0694,0.0661,0.041
6,4.7733,0.1,2025-11-20 03:07:03.060,1287.247,39.105,39.0829,3.3062,1421110500.0,0.0,1097728.0,,294.949,297.555,60.9613,62.0,99.366,100.0,17499881472.0,17499881472.0,17499881472.0,0.0526,0.0512,0.0526,0.0356
7,4.7789,0.1,2025-11-20 03:29:23.253,1301.093,39.116,39.0933,3.2531,1421110500.0,0.0,946176.0,,294.038,297.29,60.134,61.0,99.3093,100.0,17499881472.0,17499881472.0,17499881472.0,0.0602,0.0536,0.0602,0.033
8,4.7834,0.1,2025-11-20 03:51:43.092,1300.723,39.098,39.0838,3.3156,1421110500.0,0.0,1032192.0,,293.0679,296.21,60.3119,61.0,99.2294,100.0,17499881472.0,17499881472.0,17499881472.0,0.0509,0.0476,0.0509,0.0309
9,4.793,0.1,2025-11-20 04:14:02.906,1300.717,39.213,39.1909,3.3031,1421110500.0,0.0,1286144.0,,292.137,295.171,60.4267,61.0,99.1465,100.0,17499881472.0,17499881472.0,17499881472.0,0.0484,0.067,0.0484,0.0286
10,4.8155,0.1,2025-11-20 04:36:23.194,1301.073,39.128,39.1042,3.2437,1421110500.0,0.0,1290240.0,,292.4672,295.581,60.0644,61.0,99.2629,100.0,17499881472.0,17499881472.0,17499881472.0,0.0489,0.0423,0.0489,0.0259
11,4.8098,0.1,2025-11-20 04:58:31.948,1289.627,39.105,39.0827,3.2875,1421110500.0,0.0,999424.0,,292.2916,294.997,60.1933,61.0,99.2088,100.0,17499881472.0,17499881472.0,17499881472.0,0.046,0.0656,0.046,0.0309
12,4.7989,0.1,2025-11-20 05:20:52.293,1301.24,39.119,39.0966,3.3031,1421110500.0,0.0,1798144.0,,292.4221,295.477,60.6211,61.0,99.2294,100.0,17499881472.0,17499881472.0,17499881472.0,0.0599,0.0669,0.0599,0.0355
