model_name,seed,config_path,train_data_path,val_data_path,model_params,train_params,inference_params,scheduler_params,lr_base
efficientnet_b0,72,configs/efficientnet_b0_config.yaml,/scratch/ehdmenezes//tiny-imagenet-200/train,/scratch/ehdmenezes//tiny-imagenet-200/val,"{'num_classes': 200}","{'epochs': 100, 'batch_size': 384, 'learning_rate': 0.1}","{'batch_size': 384}","{'type': 'StepLR', 'step_size': 30, 'gamma': 0.1}",0.1
epoch,train_loss,lr,elapsed_time_seconds,cpu_usage_percent,ram_peak_bytes,disk_read_bytes,disk_write_bytes,vram_peak_bytes,gpu_power_watts_avg,gpu_power_watts_peak,gpu_temp_celsius_avg,gpu_temp_celsius_peak,gpu_util_percent_avg,gpu_util_percent_peak,gpu_mem_used_bytes_avg,gpu_mem_used_bytes_peak,gpu_vram_used_bytes,val_accuracy,val_precision,val_recall,val_f1
1,4.8159,0.1,6.4827,5.3,9062076416.0,0.0,2732032.0,2760595268.0,117.4674,269.399,54.1719,61.0,25.5156,99.0,19123077120.0,19123077120.0,19123077120.0,0.1013,0.107,0.1013,0.077
2,4.3264,0.1,5.9632,5.2188,9065304064.0,0.0,135168.0,2760595268.0,138.7633,265.053,58.2712,65.0,29.0,100.0,19961937920.0,19961937920.0,19961937920.0,0.1651,0.1831,0.1651,0.1401
3,4.072,0.1,6.082,5.4875,9067155456.0,0.0,139264.0,2760595268.0,134.546,265.834,59.1833,66.0,25.8833,99.0,19961937920.0,19961937920.0,19961937920.0,0.2084,0.2403,0.2084,0.1876
4,3.9085,0.1,5.8597,5.2062,9067319296.0,0.0,233472.0,2760595268.0,135.6717,274.016,59.8966,67.0,25.2759,99.0,19961937920.0,19961937920.0,19961937920.0,0.25,0.265,0.25,0.226
5,3.7973,0.1,5.8381,5.225,9071009792.0,0.0,81920.0,2760595268.0,134.399,286.478,60.0517,68.0,26.8793,99.0,19961937920.0,19961937920.0,19961937920.0,0.2809,0.3188,0.2809,0.2613
6,3.7244,0.1,6.2768,5.1375,9087655936.0,0.0,135168.0,2760595268.0,134.1623,276.711,60.3387,67.0,25.0806,99.0,19961937920.0,19961937920.0,19961937920.0,0.2633,0.3107,0.2633,0.2449
7,3.6646,0.1,5.9632,5.2188,9099296768.0,0.0,135168.0,2760595268.0,132.3731,285.347,60.5085,67.0,26.9492,100.0,19961937920.0,19961937920.0,19961937920.0,0.2846,0.3195,0.2846,0.2632
8,3.6326,0.1,5.8476,5.325,9106722816.0,0.0,172032.0,2760595268.0,135.812,266.111,60.8276,68.0,27.1897,99.0,19961937920.0,19961937920.0,19961937920.0,0.3152,0.3425,0.3152,0.2952
9,3.5911,0.1,6.0698,5.4375,9117159424.0,0.0,135168.0,2760595268.0,122.8401,287.417,60.7167,68.0,23.85,99.0,19961937920.0,19961937920.0,19961937920.0,0.3095,0.3498,0.3095,0.2972
10,3.5664,0.1,6.3549,5.1625,9117327360.0,0.0,73728.0,2760595268.0,132.1366,269.835,60.8095,68.0,27.1111,100.0,19961937920.0,19961937920.0,19961937920.0,0.3131,0.3633,0.3131,0.2997
11,3.5347,0.1,6.3655,5.2125,9117433856.0,0.0,151552.0,2760595268.0,129.8051,269.94,60.6825,67.0,24.6508,99.0,19961937920.0,19961937920.0,19961937920.0,0.3265,0.3726,0.3265,0.3117
12,3.5117,0.1,6.023,5.1688,9117491200.0,0.0,200704.0,2760595268.0,133.1398,268.924,60.9831,68.0,25.322,99.0,19961937920.0,19961937920.0,19961937920.0,0.334,0.3747,0.334,0.3195
13,3.4996,0.1,6.3366,5.1312,9117609984.0,0.0,135168.0,2760595268.0,132.1328,275.689,60.8571,68.0,24.1746,99.0,19961937920.0,19961937920.0,19961937920.0,0.323,0.3895,0.323,0.3163
14,3.4817,0.1,6.0633,5.0625,9117609984.0,0.0,135168.0,2760595268.0,137.75,277.457,61.1333,68.0,27.5167,99.0,20096155648.0,20096155648.0,20096155648.0,0.3155,0.3876,0.3155,0.3109
15,3.4709,0.1,6.3586,5.1688,9117679616.0,0.0,151552.0,2760595268.0,131.6085,269.427,60.6032,68.0,25.6508,99.0,20096155648.0,20096155648.0,20096155648.0,0.3408,0.3809,0.3408,0.3248
16,3.4539,0.1,6.0722,5.0938,9117851648.0,0.0,155648.0,2760595268.0,136.618,289.33,60.9333,68.0,27.0,99.0,20096155648.0,20096155648.0,20096155648.0,0.3487,0.4027,0.3487,0.339
17,3.4262,0.1,6.266,5.225,9117933568.0,0.0,135168.0,2760595268.0,125.6819,287.058,60.4839,68.0,24.9839,99.0,20096155648.0,20096155648.0,20096155648.0,0.3074,0.3673,0.3074,0.2984
18,3.4132,0.1,5.9629,5.1125,9118040064.0,0.0,151552.0,2760595268.0,137.4662,276.845,60.8136,68.0,27.4915,100.0,20096155648.0,20096155648.0,20096155648.0,0.3504,0.3886,0.3504,0.3353
19,3.4018,0.1,6.4396,5.0438,9121497088.0,0.0,180224.0,2760595268.0,131.9577,266.298,60.4688,67.0,25.9219,100.0,20096155648.0,20096155648.0,20096155648.0,0.3943,0.429,0.3943,0.3813
20,3.387,0.1,6.0518,5.4625,9122447360.0,0.0,135168.0,2760595268.0,133.4533,257.338,60.6833,68.0,26.2833,99.0,20096155648.0,20096155648.0,20096155648.0,0.3561,0.4181,0.3561,0.3499
21,3.3767,0.1,6.0324,5.1875,9124892672.0,0.0,135168.0,2760595268.0,140.309,269.931,60.8833,68.0,25.1833,99.0,20096155648.0,20096155648.0,20096155648.0,0.3927,0.4267,0.3927,0.3855
22,3.3525,0.1,6.2026,5.3812,9130684416.0,0.0,135168.0,2760595268.0,140.345,289.445,61.0492,68.0,25.6066,99.0,20129710080.0,20129710080.0,20129710080.0,0.3627,0.4048,0.3627,0.3537
23,3.3457,0.1,6.1353,5.2062,9132171264.0,0.0,151552.0,2760595268.0,135.0081,279.014,60.7705,68.0,26.623,99.0,20129710080.0,20129710080.0,20129710080.0,0.3749,0.4257,0.3749,0.3703
24,3.3329,0.1,6.2995,5.1813,9133248512.0,0.0,135168.0,2760595268.0,136.3367,272.908,60.9355,68.0,26.129,99.0,20163264512.0,20163264512.0,20163264512.0,0.3892,0.4251,0.3892,0.3761
25,3.327,0.1,6.1597,5.4,9133232128.0,0.0,135168.0,2760595268.0,129.7895,281.292,60.8852,68.0,26.5902,99.0,20163264512.0,20163264512.0,20163264512.0,0.3816,0.4251,0.3816,0.3733
26,3.3199,0.1,6.0356,5.4062,9133400064.0,0.0,212992.0,2760595268.0,131.7044,287.093,60.9167,68.0,27.1667,99.0,20163264512.0,20163264512.0,20163264512.0,0.3905,0.4445,0.3905,0.3823
27,3.3093,0.1,6.3393,5.1875,9133408256.0,0.0,90112.0,2760595268.0,132.7419,281.671,61.1905,67.0,25.9524,99.0,20163264512.0,20163264512.0,20163264512.0,0.3934,0.4378,0.3934,0.3819
28,3.2996,0.1,6.1193,5.1375,9133432832.0,0.0,135168.0,2760595268.0,135.0643,269.855,61.0667,68.0,24.7333,99.0,20163264512.0,20163264512.0,20163264512.0,0.3776,0.4208,0.3776,0.3653
29,3.295,0.1,6.4376,5.0938,9133461504.0,0.0,135168.0,2760595268.0,132.0197,275.55,61.0,68.0,24.7656,99.0,20163264512.0,20163264512.0,20163264512.0,0.4113,0.4493,0.4113,0.4047
30,3.2794,0.01,5.7349,5.4062,9133445120.0,0.0,151552.0,2760595268.0,133.3899,288.297,61.2105,68.0,27.8596,99.0,20163264512.0,20163264512.0,20163264512.0,0.3771,0.4402,0.3771,0.3661
