epoch,train_loss,lr,elapsed_time_seconds,cpu_usage_percent,ram_peak_bytes,disk_read_bytes,disk_write_bytes,vram_peak_bytes,gpu_power_watts_avg,gpu_power_watts_peak,gpu_temp_celsius_avg,gpu_temp_celsius_peak,gpu_util_percent_avg,gpu_util_percent_peak,gpu_mem_used_bytes_avg,gpu_mem_used_bytes_peak,gpu_vram_used_bytes,val_accuracy,val_precision,val_recall,val_f1
1,4.8272,0.1,6.3624,5.275,2760595268.0,0.0,13557760.0,,115.7696,261.127,37.6984,45.0,26.1746,99.0,19190054912.0,19190054912.0,19190054912.0,0.1005,0.1129,0.1005,0.0755
2,4.3158,0.1,6.4872,5.125,2760595268.0,0.0,499712.0,,122.3912,259.253,39.2812,47.0,24.8438,99.0,19223609344.0,19223609344.0,19223609344.0,0.1631,0.1931,0.1631,0.1422
3,4.0604,0.1,6.0553,5.025,2760595268.0,0.0,462848.0,,124.6525,258.842,40.25,47.0,26.65,100.0,20062470144.0,20062470144.0,20062470144.0,0.2177,0.2295,0.2177,0.1929
4,3.9031,0.1,6.4771,5.1125,2760595268.0,0.0,536576.0,,122.248,258.819,40.25,47.0,24.4531,100.0,20062470144.0,20062470144.0,20062470144.0,0.2283,0.2755,0.2283,0.2126
5,3.7842,0.1,6.2551,5.275,2760595268.0,0.0,393216.0,,124.2058,271.093,40.9032,48.0,25.4839,99.0,20062470144.0,20062470144.0,20062470144.0,0.2631,0.2957,0.2631,0.2428
6,3.7163,0.1,6.2651,5.2,2760595268.0,0.0,6668288.0,,125.939,257.149,41.0484,48.0,23.6129,99.0,20062470144.0,20062470144.0,20062470144.0,0.2791,0.3368,0.2791,0.2649
7,3.6614,0.1,5.9623,5.3125,2760595268.0,0.0,479232.0,,129.6868,259.205,41.3729,48.0,28.0678,99.0,20062470144.0,20062470144.0,20062470144.0,0.3008,0.3291,0.3008,0.2848
8,3.6229,0.1,5.8695,5.2375,2760595268.0,0.0,262144.0,,120.7586,266.624,41.0862,48.0,26.2931,99.0,20062470144.0,20062470144.0,20062470144.0,0.3047,0.3538,0.3047,0.2909
9,3.5912,0.1,6.0563,5.2938,2760595268.0,0.0,339968.0,,126.6123,271.354,41.3,49.0,26.0667,99.0,20062470144.0,20062470144.0,20062470144.0,0.2972,0.3544,0.2972,0.285
10,3.5592,0.1,5.8589,5.25,2760595268.0,0.0,262144.0,,124.9705,266.377,41.5517,49.0,27.3276,99.0,20062470144.0,20062470144.0,20062470144.0,0.2957,0.3618,0.2957,0.2837
11,3.5408,0.1,6.3772,5.1375,2760595268.0,0.0,253952.0,,123.9229,269.628,41.5556,49.0,25.2698,100.0,20096024576.0,20096024576.0,20096024576.0,0.3308,0.3736,0.3308,0.3171
12,3.5118,0.1,5.863,5.2438,2760595268.0,0.0,3616768.0,,125.1499,273.4,41.931,49.0,27.8793,99.0,20096024576.0,20096024576.0,20096024576.0,0.3192,0.3795,0.3192,0.3093
13,3.4994,0.1,6.5656,5.0438,2760595268.0,0.0,274432.0,,124.4453,248.156,41.8462,49.0,23.7385,99.0,20096024576.0,20096024576.0,20096024576.0,0.3302,0.371,0.3302,0.3149
14,3.4778,0.1,6.5593,5.0312,2760595268.0,0.0,5242880.0,,128.0745,267.584,42.0615,49.0,24.6,100.0,20096024576.0,20096024576.0,20096024576.0,0.3477,0.3823,0.3477,0.3333
15,3.4654,0.1,6.0706,5.2062,2760595268.0,0.0,446464.0,,124.4244,271.635,41.95,49.0,27.2333,99.0,20096024576.0,20096024576.0,20096024576.0,0.3458,0.397,0.3458,0.3358
16,3.4439,0.1,6.0234,5.0938,2760595268.0,0.0,307200.0,,121.9899,244.158,42.2203,49.0,25.1695,99.0,20096024576.0,20096024576.0,20096024576.0,0.3561,0.3909,0.3561,0.3457
17,3.416,0.1,6.3546,5.2125,2760595268.0,0.0,450560.0,,124.168,249.34,42.1905,49.0,24.9206,99.0,20096024576.0,20096024576.0,20096024576.0,0.3332,0.3976,0.3332,0.3256
18,3.409,0.1,5.9813,5.1625,2760595268.0,0.0,6500352.0,,123.3264,269.245,42.1864,49.0,25.4915,99.0,20096024576.0,20096024576.0,20096024576.0,0.3613,0.4051,0.3613,0.3503
19,3.4006,0.1,6.0627,5.0625,2760595268.0,0.0,352256.0,,130.8952,256.367,42.1667,49.0,26.2167,99.0,20096024576.0,20096024576.0,20096024576.0,0.3641,0.4169,0.3641,0.3549
20,3.3801,0.1,6.3844,5.2062,2760595268.0,0.0,475136.0,,122.6238,273.993,41.9841,50.0,25.3492,99.0,20096024576.0,20096024576.0,20096024576.0,0.365,0.4066,0.365,0.3558
21,3.3655,0.1,6.1037,5.1937,2760595268.0,0.0,7634944.0,,125.3645,253.741,42.0167,49.0,24.6167,99.0,20096024576.0,20096024576.0,20096024576.0,0.3734,0.4106,0.3734,0.3581
22,3.3489,0.1,6.2433,5.3063,2760595268.0,0.0,487424.0,,123.8766,259.172,41.5968,49.0,27.4194,99.0,20096024576.0,20096024576.0,20096024576.0,0.3803,0.4197,0.3803,0.3684
23,3.3396,0.1,6.2522,5.2,2760595268.0,0.0,303104.0,,127.5479,257.073,41.5968,49.0,26.5968,99.0,20096024576.0,20096024576.0,20096024576.0,0.3941,0.4219,0.3941,0.3785
24,3.3169,0.1,5.8826,5.375,2760595268.0,0.0,10117120.0,,129.6323,256.787,41.6034,49.0,26.7069,99.0,20096024576.0,20096024576.0,20096024576.0,0.3959,0.4298,0.3959,0.3798
25,3.3224,0.1,5.7729,5.3688,2760595268.0,0.0,450560.0,,129.2536,261.812,41.807,49.0,26.6842,99.0,20096024576.0,20096024576.0,20096024576.0,0.3929,0.4331,0.3929,0.3806
26,3.309,0.1,6.3583,5.1813,2760595268.0,0.0,9875456.0,,124.1303,269.728,41.619,49.0,25.8413,99.0,20096024576.0,20096024576.0,20096024576.0,0.4003,0.4187,0.4003,0.3869
27,3.2989,0.1,5.9593,5.075,2760595268.0,0.0,589824.0,,127.2238,273.168,41.8136,49.0,26.6441,99.0,20096024576.0,20096024576.0,20096024576.0,0.4148,0.4464,0.4148,0.4033
28,3.2878,0.1,6.3594,5.1813,2760595268.0,0.0,8667136.0,,118.803,261.748,41.6349,49.0,25.5238,99.0,20096024576.0,20096024576.0,20096024576.0,0.3978,0.4287,0.3978,0.3823
29,3.2784,0.1,6.0687,5.075,2760595268.0,0.0,507904.0,,127.7453,265.565,42.0833,49.0,25.6333,99.0,20096024576.0,20096024576.0,20096024576.0,0.4193,0.4501,0.4193,0.41
30,3.2648,0.01,5.9416,5.2875,2760595268.0,0.0,311296.0,,130.4863,266.215,42.1017,49.0,27.4237,99.0,20096024576.0,20096024576.0,20096024576.0,0.3786,0.4296,0.3786,0.3707
31,2.9924,0.01,6.2434,5.3625,2760595268.0,0.0,585728.0,,123.2799,242.764,41.9677,49.0,25.4032,99.0,20096024576.0,20096024576.0,20096024576.0,0.5164,0.511,0.5164,0.506
32,2.9022,0.01,6.0285,5.3375,2760595268.0,0.0,5476352.0,,128.8251,254.906,42.3667,49.0,27.1,99.0,20096024576.0,20096024576.0,20096024576.0,0.5275,0.5228,0.5275,0.5192
33,2.8667,0.01,6.376,5.2625,2760595268.0,0.0,376832.0,,126.2285,264.082,42.0635,49.0,24.5714,99.0,20096024576.0,20096024576.0,20096024576.0,0.532,0.5289,0.532,0.5241
