epoch,train_loss,lr,epoch_ts,training_time_seconds,inference_time_seconds,elapsed_time_seconds,cpu_usage_percent,ram_peak_bytes,disk_read_bytes,disk_write_bytes,vram_peak_bytes,gpu_power_watts_avg,gpu_power_watts_peak,gpu_temp_celsius_avg,gpu_temp_celsius_peak,gpu_util_percent_avg,gpu_util_percent_peak,gpu_mem_used_bytes_avg,gpu_mem_used_bytes_peak,gpu_vram_used_bytes,val_accuracy,val_precision,val_recall,val_f1
1,4.7935,0.1,2025-11-22 16:16:03.519,56.391,2.874,2.8511,3.2437,2760595268.0,0.0,143360.0,,176.0376,293.805,54.0,62.0,48.7143,100.0,19261489152.0,19261489152.0,19261489152.0,0.108,0.1114,0.108,0.0751
2,4.2713,0.1,2025-11-22 16:17:00.526,54.133,2.511,2.4886,3.5531,2760595268.0,0.0,135168.0,,193.6608,307.768,55.5417,62.0,53.9583,100.0,19263586304.0,19263586304.0,19263586304.0,0.1604,0.1948,0.1604,0.1389
3,4.0244,0.1,2025-11-22 16:17:57.109,54.071,3.365,3.3425,3.4031,2760595268.0,0.0,196608.0,,162.3715,300.564,53.5758,62.0,41.5758,100.0,20068892672.0,20068892672.0,20068892672.0,0.2307,0.2612,0.2307,0.2076
4,3.8725,0.1,2025-11-22 16:18:53.995,53.522,2.673,2.6504,3.3844,2760595268.0,0.0,479232.0,,190.6183,298.727,55.3462,61.0,51.8846,100.0,20068892672.0,20068892672.0,20068892672.0,0.2466,0.2828,0.2466,0.2257
5,3.7661,0.1,2025-11-22 16:19:50.075,53.406,2.669,2.6461,3.3312,2760595268.0,0.0,581632.0,,189.4923,284.574,55.4615,61.0,51.4615,100.0,20068892672.0,20068892672.0,20068892672.0,0.2693,0.3036,0.2693,0.2487
6,3.6944,0.1,2025-11-22 16:20:45.752,53.008,3.276,3.2536,3.5625,2760595268.0,0.0,0.0,,169.5258,298.098,53.875,62.0,42.5312,100.0,20068892672.0,20068892672.0,20068892672.0,0.2876,0.3297,0.2876,0.2695
7,3.6464,0.1,2025-11-22 16:21:42.580,53.553,2.87,2.8482,3.0812,2760595268.0,0.0,266240.0,,183.604,304.612,54.7857,62.0,50.5,100.0,20102447104.0,20102447104.0,20102447104.0,0.2928,0.3261,0.2928,0.2763
8,3.6029,0.1,2025-11-22 16:22:38.656,53.205,3.211,3.1877,3.6063,2760595268.0,0.0,0.0,,171.1251,304.013,54.4516,61.0,43.5161,100.0,20169555968.0,20169555968.0,20169555968.0,0.2906,0.3523,0.2906,0.2783
9,3.5702,0.1,2025-11-22 16:23:35.039,53.172,2.784,2.7621,3.2812,2760595268.0,0.0,299008.0,,181.0227,299.272,55.037,61.0,48.4444,100.0,20203110400.0,20203110400.0,20203110400.0,0.314,0.3448,0.314,0.2976
10,3.5413,0.1,2025-11-22 16:24:31.377,53.554,2.804,2.7809,3.225,2760595268.0,0.0,434176.0,,188.2058,307.758,55.2593,61.0,53.6296,100.0,20203110400.0,20203110400.0,20203110400.0,0.3054,0.3739,0.3054,0.2966
11,3.5183,0.1,2025-11-22 16:25:28.215,54.035,3.395,3.3719,3.4469,2760595268.0,0.0,290816.0,,166.3863,303.845,53.9697,62.0,42.5152,100.0,20203110400.0,20203110400.0,20203110400.0,0.3292,0.3673,0.3292,0.3149
12,3.5009,0.1,2025-11-22 16:26:25.895,54.284,3.614,3.5922,3.2437,2760595268.0,0.0,544768.0,,154.7002,309.312,53.6571,62.0,39.1143,100.0,20203110400.0,20203110400.0,20203110400.0,0.2903,0.3812,0.2903,0.2769
13,3.4849,0.1,2025-11-22 16:27:23.444,53.935,2.471,2.449,3.625,2760595268.0,0.0,147456.0,,195.5375,301.82,56.0417,62.0,52.3333,100.0,20203110400.0,20203110400.0,20203110400.0,0.3472,0.3781,0.3472,0.3298
14,3.469,0.1,2025-11-22 16:28:19.334,53.419,3.395,3.3729,3.4469,2760595268.0,0.0,0.0,,164.1765,302.906,54.1818,62.0,42.1818,100.0,20203110400.0,20203110400.0,20203110400.0,0.3216,0.3695,0.3216,0.3086
15,3.443,0.1,2025-11-22 16:29:16.756,54.027,3.295,3.272,3.525,2760595268.0,0.0,12288.0,,167.3364,295.741,54.2812,62.0,41.9688,100.0,20203110400.0,20203110400.0,20203110400.0,0.3678,0.3978,0.3678,0.3514
16,3.4303,0.1,2025-11-22 16:30:13.417,53.367,3.28,3.258,3.5594,2760595268.0,0.0,0.0,,162.1575,307.191,54.0625,62.0,42.5938,100.0,20203110400.0,20203110400.0,20203110400.0,0.3631,0.4115,0.3631,0.3492
17,3.4184,0.1,2025-11-22 16:31:09.835,53.135,2.654,2.6314,3.325,2760595268.0,0.0,0.0,,190.4409,298.344,55.5769,63.0,52.3077,100.0,20203110400.0,20203110400.0,20203110400.0,0.3595,0.4156,0.3595,0.3489
18,3.402,0.1,2025-11-22 16:32:05.772,53.286,3.098,3.0756,2.925,2760595268.0,0.0,204800.0,,188.4281,307.172,54.9,62.0,50.7333,100.0,20203110400.0,20203110400.0,20203110400.0,0.376,0.4214,0.376,0.3612
19,3.3889,0.1,2025-11-22 16:33:03.243,54.372,3.295,3.2724,3.5812,2760595268.0,0.0,8192.0,,167.6961,299.805,53.9062,60.0,43.625,100.0,20203110400.0,20203110400.0,20203110400.0,0.3466,0.3813,0.3466,0.3317
20,3.3704,0.1,2025-11-22 16:34:00.431,53.893,3.323,3.2996,3.5594,2760595268.0,0.0,4096.0,,167.0853,301.964,54.0,60.0,42.2812,99.0,20203110400.0,20203110400.0,20203110400.0,0.3734,0.4168,0.3734,0.3578
21,3.3564,0.1,2025-11-22 16:34:57.087,53.333,3.579,3.5561,3.2594,2760595268.0,0.0,299008.0,,161.1794,299.961,53.3714,60.0,39.4,100.0,20203110400.0,20203110400.0,20203110400.0,0.3684,0.4112,0.3684,0.3539
22,3.3411,0.1,2025-11-22 16:35:53.691,53.025,2.905,2.8824,3.0344,2760595268.0,0.0,266240.0,,182.0209,309.018,54.7857,60.0,50.4643,100.0,20203110400.0,20203110400.0,20203110400.0,0.3869,0.4157,0.3869,0.3758
23,3.3278,0.1,2025-11-22 16:36:50.010,53.414,3.279,3.2566,3.5031,2760595268.0,0.0,319488.0,,162.0292,288.201,53.9688,61.0,39.9062,100.0,20203110400.0,20203110400.0,20203110400.0,0.3945,0.4321,0.3945,0.3833
24,3.3161,0.1,2025-11-22 16:37:46.389,53.1,2.679,2.656,3.3656,2760595268.0,0.0,0.0,,189.5624,295.843,55.4231,61.0,52.0385,100.0,20203110400.0,20203110400.0,20203110400.0,0.4057,0.4345,0.4057,0.3909
25,3.3012,0.1,2025-11-22 16:38:42.925,53.857,2.897,2.8738,3.2188,2760595268.0,0.0,16384.0,,182.7152,299.999,55.3214,62.0,51.2143,100.0,20203110400.0,20203110400.0,20203110400.0,0.4111,0.4423,0.4111,0.3991
26,3.2958,0.1,2025-11-22 16:39:39.253,53.431,2.66,2.6377,3.4,2760595268.0,0.0,143360.0,,192.4258,305.686,55.7692,61.0,54.7308,100.0,20203110400.0,20203110400.0,20203110400.0,0.3808,0.4343,0.3808,0.3707
27,3.2914,0.1,2025-11-22 16:40:36.353,54.44,2.708,2.6853,3.3969,2760595268.0,0.0,233472.0,,185.7853,310.191,55.5385,63.0,49.5769,100.0,20203110400.0,20203110400.0,20203110400.0,0.4014,0.4429,0.4014,0.3894
28,3.2803,0.1,2025-11-22 16:41:32.544,53.483,3.08,3.0571,3.0469,2760595268.0,0.0,524288.0,,175.1996,307.655,54.6333,63.0,45.3667,100.0,20203110400.0,20203110400.0,20203110400.0,0.3964,0.4386,0.3964,0.3821
29,3.2715,0.1,2025-11-22 16:42:28.821,53.197,3.179,3.1558,3.6625,2760595268.0,0.0,0.0,,169.2413,289.84,54.5484,62.0,41.871,100.0,20203110400.0,20203110400.0,20203110400.0,0.4193,0.4538,0.4193,0.4097
30,3.26,0.01,2025-11-22 16:43:26.126,54.127,2.578,2.5551,3.5344,2760595268.0,0.0,4096.0,,192.1828,299.371,55.8,61.0,54.36,100.0,20203110400.0,20203110400.0,20203110400.0,0.3971,0.4467,0.3971,0.3947
31,2.9856,0.01,2025-11-22 16:44:22.555,53.85,3.389,3.3669,3.3875,2760595268.0,0.0,286720.0,,164.2085,301.975,53.9697,60.0,41.0303,100.0,20203110400.0,20203110400.0,20203110400.0,0.5214,0.5154,0.5214,0.5112
32,2.8898,0.01,2025-11-22 16:45:19.225,53.281,2.707,2.6845,3.2938,2760595268.0,0.0,0.0,,190.9594,308.453,55.4231,63.0,51.8077,100.0,20203110400.0,20203110400.0,20203110400.0,0.5341,0.5285,0.5341,0.5248
33,2.8553,0.01,2025-11-22 16:46:15.984,54.052,3.215,3.1921,3.6031,2760595268.0,0.0,0.0,,165.5573,298.915,54.4516,62.0,41.4516,100.0,20203110400.0,20203110400.0,20203110400.0,0.5362,0.5339,0.5362,0.5287
34,2.8371,0.01,2025-11-22 16:47:12.441,53.242,3.279,3.256,3.5406,2760595268.0,0.0,307200.0,,163.8096,284.633,53.9375,60.0,40.5938,100.0,20203110400.0,20203110400.0,20203110400.0,0.5386,0.5368,0.5386,0.5312
35,2.8173,0.01,2025-11-22 16:48:09.091,53.369,2.654,2.6395,3.2687,2760595268.0,0.0,294912.0,,195.3626,305.549,55.8846,61.0,56.5769,100.0,20203110400.0,20203110400.0,20203110400.0,0.543,0.5389,0.543,0.5347
36,2.8095,0.01,2025-11-22 16:49:04.825,53.082,3.6,3.5776,3.2219,2760595268.0,0.0,303104.0,,159.8067,303.062,53.4571,60.0,39.2571,100.0,20203110400.0,20203110400.0,20203110400.0,0.5449,0.5405,0.5449,0.5366
37,2.8029,0.01,2025-11-22 16:50:01.754,53.329,2.699,2.6771,3.2906,2760595268.0,0.0,20480.0,,189.5224,304.551,55.3077,63.0,53.1154,100.0,20203110400.0,20203110400.0,20203110400.0,0.5492,0.5479,0.5492,0.5421
38,2.7908,0.01,2025-11-22 16:50:57.693,53.24,2.906,2.8834,3.0656,2760595268.0,98304.0,294912.0,,178.2546,309.64,54.75,63.0,49.2143,100.0,20203110400.0,20203110400.0,20203110400.0,0.5483,0.5459,0.5483,0.539
39,2.7809,0.01,2025-11-22 16:51:54.016,53.417,2.698,2.6755,3.3156,2760595268.0,0.0,12288.0,,189.4119,305.811,55.6538,62.0,53.5,100.0,20203110400.0,20203110400.0,20203110400.0,0.5532,0.5522,0.5532,0.5459
40,2.7742,0.01,2025-11-22 16:52:50.115,53.401,3.414,3.3918,3.4375,2760595268.0,0.0,16384.0,,160.405,291.45,53.9697,62.0,39.1818,100.0,20203110400.0,20203110400.0,20203110400.0,0.5526,0.5521,0.5526,0.5452
41,2.7657,0.01,2025-11-22 16:53:46.821,53.292,3.633,3.6108,3.2281,2760595268.0,0.0,315392.0,,171.1224,296.788,53.7714,61.0,42.5143,99.0,20203110400.0,20203110400.0,20203110400.0,0.5514,0.5487,0.5514,0.5437
42,2.7614,0.01,2025-11-22 16:54:43.912,53.458,3.318,3.2953,3.5469,2760595268.0,0.0,0.0,,169.2525,298.424,54.1562,61.0,43.75,100.0,20203110400.0,20203110400.0,20203110400.0,0.5607,0.5609,0.5607,0.5553
43,2.7548,0.01,2025-11-22 16:55:40.555,53.325,3.395,3.3728,3.3906,2760595268.0,0.0,0.0,,163.8837,306.508,54.0303,61.0,40.1818,100.0,20203110400.0,20203110400.0,20203110400.0,0.5526,0.5526,0.5526,0.5447
44,2.7491,0.01,2025-11-22 16:56:37.511,53.561,3.0,2.9773,3.8312,2760595268.0,0.0,0.0,,175.0323,302.714,54.6207,61.0,45.5172,99.0,20203110400.0,20203110400.0,20203110400.0,0.5551,0.5546,0.5551,0.5469
45,2.7471,0.01,2025-11-22 16:57:34.602,54.091,3.324,3.3012,3.5125,2760595268.0,0.0,12288.0,,165.8956,300.097,54.375,61.0,41.5938,100.0,20203110400.0,20203110400.0,20203110400.0,0.5547,0.5538,0.5547,0.5471
46,2.7364,0.01,2025-11-22 16:58:31.088,53.162,2.574,2.5518,3.5031,2760595268.0,0.0,557056.0,,198.0505,303.594,56.2,62.0,56.84,100.0,20203110400.0,20203110400.0,20203110400.0,0.556,0.558,0.556,0.5502
47,2.7336,0.01,2025-11-22 16:59:26.876,53.214,3.377,3.3554,3.4562,2760595268.0,0.0,282624.0,,158.132,308.498,53.9697,62.0,42.3939,100.0,20203110400.0,20203110400.0,20203110400.0,0.5553,0.5591,0.5553,0.5486
48,2.7335,0.01,2025-11-22 17:00:23.911,53.658,3.398,3.3748,3.4438,2760595268.0,0.0,139264.0,,169.6138,302.916,54.0,62.0,41.1212,100.0,20203110400.0,20203110400.0,20203110400.0,0.5563,0.5588,0.5563,0.5501
49,2.723,0.01,2025-11-22 17:01:20.745,53.436,2.556,2.5412,3.5031,2760595268.0,0.0,274432.0,,192.8481,306.388,56.04,62.0,53.4,100.0,20203110400.0,20203110400.0,20203110400.0,0.5472,0.556,0.5472,0.5415
50,2.721,0.01,2025-11-22 17:02:16.189,52.888,2.882,2.86,3.2125,2760595268.0,0.0,266240.0,,191.4934,310.41,55.5714,63.0,50.3929,100.0,20203110400.0,20203110400.0,20203110400.0,0.5574,0.558,0.5574,0.5493
51,2.7189,0.01,2025-11-22 17:03:13.124,54.053,2.902,2.8792,3.1469,2760595268.0,0.0,8192.0,,183.4532,293.804,55.3214,63.0,48.0357,100.0,20203110400.0,20203110400.0,20203110400.0,0.5605,0.564,0.5605,0.5543
52,2.7168,0.01,2025-11-22 17:04:09.364,53.338,2.72,2.6976,3.3469,2760595268.0,0.0,8192.0,,191.1161,308.617,55.7308,61.0,53.9615,100.0,20203110400.0,20203110400.0,20203110400.0,0.5565,0.562,0.5565,0.551
53,2.7195,0.01,2025-11-22 17:05:06.071,53.987,2.674,2.6516,3.3344,2760595268.0,0.0,311296.0,,191.976,299.875,55.5,61.0,52.9615,100.0,20203110400.0,20203110400.0,20203110400.0,0.5532,0.5605,0.5532,0.5481
54,2.7109,0.01,2025-11-22 17:06:02.234,53.489,2.695,2.6725,3.3094,2760595268.0,0.0,16384.0,,188.1458,303.812,55.4615,61.0,54.8462,100.0,20203110400.0,20203110400.0,20203110400.0,0.5583,0.5652,0.5583,0.5526
55,2.7065,0.01,2025-11-22 17:06:57.861,52.932,2.89,2.8764,3.1625,2760595268.0,0.0,249856.0,,182.4709,305.763,54.8571,60.0,49.8214,100.0,20203110400.0,20203110400.0,20203110400.0,0.5605,0.5687,0.5605,0.556
56,2.7102,0.01,2025-11-22 17:07:53.897,53.143,2.852,2.8291,3.0375,2760595268.0,0.0,262144.0,,174.5536,308.488,54.5,60.0,45.8929,100.0,20203110400.0,20203110400.0,20203110400.0,0.5605,0.5626,0.5605,0.5544
57,2.7012,0.01,2025-11-22 17:08:50.341,53.596,3.236,3.214,3.6156,2760595268.0,0.0,290816.0,,162.8276,290.207,53.8065,61.0,43.0968,100.0,20203110400.0,20203110400.0,20203110400.0,0.556,0.5673,0.556,0.5523
58,2.7001,0.01,2025-11-22 17:09:46.725,53.147,2.697,2.6743,3.3875,2760595268.0,0.0,0.0,,191.7456,296.135,55.2692,62.0,52.8462,100.0,20203110400.0,20203110400.0,20203110400.0,0.5664,0.5741,0.5664,0.5615
59,2.6997,0.01,2025-11-22 17:10:43.219,53.798,2.673,2.6516,3.4656,2760595268.0,0.0,0.0,,190.2267,295.37,55.3846,61.0,51.2692,100.0,20203110400.0,20203110400.0,20203110400.0,0.5609,0.5694,0.5609,0.5583
60,2.6923,0.001,2025-11-22 17:11:39.517,53.624,2.585,2.5627,3.425,2760595268.0,0.0,274432.0,,200.7764,309.763,55.68,62.0,57.76,100.0,20203110400.0,20203110400.0,20203110400.0,0.554,0.5606,0.554,0.5499
61,2.5912,0.001,2025-11-22 17:12:35.776,53.675,3.389,3.3674,3.4156,2760595268.0,0.0,0.0,,162.4613,283.639,53.8485,60.0,41.2424,100.0,20203110400.0,20203110400.0,20203110400.0,0.5862,0.5816,0.5862,0.5801
62,2.5507,0.001,2025-11-22 17:13:32.717,53.551,3.202,3.1791,3.6281,2760595268.0,0.0,8192.0,,168.4136,304.473,54.2903,61.0,41.9677,100.0,20203110400.0,20203110400.0,20203110400.0,0.591,0.588,0.591,0.5854
