epoch,train_loss,lr,epoch_ts,training_time_seconds,inference_time_seconds,elapsed_time_seconds,cpu_usage_percent,ram_peak_bytes,disk_read_bytes,disk_write_bytes,vram_peak_bytes,gpu_power_watts_avg,gpu_power_watts_peak,gpu_temp_celsius_avg,gpu_temp_celsius_peak,gpu_util_percent_avg,gpu_util_percent_peak,gpu_mem_used_bytes_avg,gpu_mem_used_bytes_peak,gpu_vram_used_bytes,val_accuracy,val_precision,val_recall,val_f1
1,5.2302,0.1,2025-11-28 00:26:58.199,113.236,4.266,4.2306,4.2031,1277886196.0,1282048.0,73728.0,,249.6157,334.762,59.0244,64.0,70.8049,99.0,9018998784.0,9018998784.0,9018998784.0,0.0177,0.0068,0.0177,0.0032
2,5.0651,0.1,2025-11-28 00:28:52.829,110.363,4.307,4.2708,4.5938,1277886196.0,0.0,0.0,,250.2036,335.11,59.3415,64.0,70.7073,99.0,9018998784.0,9018998784.0,9018998784.0,0.0274,0.0139,0.0274,0.0115
3,4.9406,0.1,2025-11-28 00:30:48.626,111.491,4.153,4.1173,4.7812,1277886196.0,0.0,0.0,,259.845,334.028,59.25,64.0,69.45,99.0,9018998784.0,9018998784.0,9018998784.0,0.0452,0.0402,0.0452,0.0239
4,4.844,0.1,2025-11-28 00:32:38.837,106.048,4.104,4.0672,4.7031,1277886196.0,0.0,4096.0,,262.6759,335.429,59.85,64.0,71.7,99.0,9018998784.0,9018998784.0,9018998784.0,0.0518,0.0352,0.0518,0.0296
5,4.6916,0.1,2025-11-28 00:34:29.220,106.288,3.781,3.7555,4.2687,1277886196.0,0.0,0.0,,278.6142,337.862,60.6667,64.0,79.4167,100.0,9018998784.0,9018998784.0,9018998784.0,0.0753,0.0693,0.0753,0.0479
6,4.5559,0.1,2025-11-28 00:36:23.048,110.047,3.984,3.9456,4.1656,1277886196.0,0.0,0.0,,260.1462,335.318,59.8684,64.0,73.8684,99.0,9018998784.0,9018998784.0,9018998784.0,0.0813,0.0946,0.0813,0.0596
7,4.4594,0.1,2025-11-28 00:38:17.102,110.071,3.99,3.9536,4.0375,1277886196.0,0.0,380928.0,,265.0529,335.266,59.8158,64.0,75.5526,99.0,9018998784.0,9018998784.0,9018998784.0,0.064,0.0652,0.064,0.0463
8,4.3814,0.1,2025-11-28 00:40:07.654,106.553,3.632,3.6072,4.3219,1277886196.0,0.0,0.0,,280.3793,337.406,61.0857,64.0,80.9714,100.0,9018998784.0,9018998784.0,9018998784.0,0.0998,0.1098,0.0998,0.0765
9,4.3199,0.1,2025-11-28 00:41:59.757,108.48,3.873,3.8343,4.2062,1277886196.0,0.0,413696.0,,268.4118,336.825,60.1081,64.0,76.6757,99.0,9052553216.0,9052553216.0,9052553216.0,0.1133,0.1433,0.1133,0.0976
10,4.2637,0.1,2025-11-28 00:43:53.982,110.351,3.911,3.8726,4.1719,1277886196.0,0.0,0.0,,269.0146,337.523,60.1892,64.0,75.8649,100.0,9052553216.0,9052553216.0,9052553216.0,0.1419,0.1734,0.1419,0.1163
11,4.2199,0.1,2025-11-28 00:45:47.264,109.371,4.058,4.0209,3.9781,1277886196.0,0.0,0.0,,264.5997,337.761,59.7692,64.0,74.7436,99.0,9052553216.0,9052553216.0,9052553216.0,0.1293,0.1834,0.1293,0.1097
