epoch,train_loss,lr,elapsed_time_seconds,cpu_usage_percent,ram_peak_bytes,disk_read_bytes,disk_write_bytes,vram_peak_bytes,gpu_power_watts_avg,gpu_power_watts_peak,gpu_temp_celsius_avg,gpu_temp_celsius_peak,gpu_util_percent_avg,gpu_util_percent_peak,gpu_mem_used_bytes_avg,gpu_mem_used_bytes_peak,gpu_vram_used_bytes,val_accuracy,val_precision,val_recall,val_f1
1,5.1487,0.1,3.0526,2.3031,5197153108.0,0.0,0.0,,144.1028,288.726,50.7,59.0,37.8667,100.0,23397072896.0,23397072896.0,23397072896.0,0.0327,0.0235,0.0327,0.0147
2,4.7206,0.1,3.167,2.1594,5197153108.0,0.0,229376.0,,124.8272,267.779,49.9355,57.0,32.7097,100.0,23464181760.0,23464181760.0,23464181760.0,0.0719,0.086,0.0719,0.0522
3,4.4468,0.1,2.9655,2.3406,5197153108.0,0.0,221184.0,,130.8376,260.244,51.6207,59.0,31.4483,100.0,23701159936.0,23701159936.0,23701159936.0,0.1283,0.1205,0.1283,0.1016
4,4.2522,0.1,3.4733,2.7625,5197153108.0,0.0,0.0,,126.7465,267.543,50.7059,59.0,29.3529,100.0,23734714368.0,23734714368.0,23734714368.0,0.1677,0.184,0.1677,0.1397
5,4.0929,0.1,3.7469,2.5594,5197153108.0,0.0,0.0,,121.6679,265.927,50.0541,58.0,26.2162,100.0,23734714368.0,23734714368.0,23734714368.0,0.1787,0.2122,0.1787,0.1529
6,3.9563,0.1,3.7608,2.55,5197153108.0,0.0,0.0,,112.7748,274.927,50.4324,59.0,26.8649,100.0,23734714368.0,23734714368.0,23734714368.0,0.2343,0.2512,0.2343,0.2107
7,3.8356,0.1,3.0585,2.2875,5197153108.0,0.0,0.0,,130.3816,265.901,51.5333,59.0,32.8667,100.0,23734714368.0,23734714368.0,23734714368.0,0.2314,0.2833,0.2314,0.2171
8,3.729,0.1,2.8393,2.4312,5197153108.0,0.0,4096.0,,134.4624,256.921,52.1071,59.0,33.3929,100.0,23734714368.0,23734714368.0,23734714368.0,0.2888,0.3248,0.2888,0.2704
9,3.6262,0.1,3.9734,2.4156,5197153108.0,0.0,212992.0,,110.5559,271.232,50.1282,58.0,26.2051,100.0,23734714368.0,23734714368.0,23734714368.0,0.3042,0.3382,0.3042,0.284
10,3.5405,0.1,2.9761,2.3844,5197153108.0,0.0,16384.0,,127.5339,264.206,51.6552,59.0,33.931,100.0,23734714368.0,23734714368.0,23734714368.0,0.3349,0.3631,0.3349,0.3163
11,3.4632,0.1,3.9405,2.4438,5197153108.0,131072.0,118784.0,,111.5205,261.401,50.0,59.0,24.2564,100.0,23734714368.0,23734714368.0,23734714368.0,0.3505,0.3855,0.3505,0.3375
12,3.3948,0.1,2.7648,2.5438,5197153108.0,0.0,0.0,,134.9939,271.095,51.9259,60.0,35.1481,100.0,23768268800.0,23768268800.0,23768268800.0,0.3389,0.4013,0.3389,0.3244
13,3.3396,0.1,2.955,2.325,5197153108.0,0.0,0.0,,138.1227,275.825,50.931,57.0,33.3793,100.0,23768268800.0,23768268800.0,23768268800.0,0.3642,0.415,0.3642,0.3545
14,3.2789,0.1,3.8449,2.5125,5197153108.0,0.0,135168.0,,110.5588,266.932,50.4737,59.0,24.1579,100.0,23768268800.0,23768268800.0,23768268800.0,0.3484,0.4171,0.3484,0.3355
15,3.2325,0.1,2.6294,2.65,5197153108.0,0.0,122880.0,,138.8791,260.419,52.3846,60.0,35.5385,100.0,23768268800.0,23768268800.0,23768268800.0,0.3863,0.4499,0.3863,0.379
16,3.1796,0.1,3.5088,2.85,5197153108.0,0.0,0.0,,119.7872,259.935,50.8235,59.0,28.1765,100.0,23768268800.0,23768268800.0,23768268800.0,0.4055,0.4559,0.4055,0.4025
17,3.1428,0.1,2.6797,2.5875,5197153108.0,0.0,20480.0,,145.4812,270.466,50.9615,55.0,38.9615,100.0,23768268800.0,23768268800.0,23768268800.0,0.411,0.4567,0.411,0.3992
18,3.105,0.1,3.6732,2.6719,5197153108.0,0.0,0.0,,127.0359,269.939,50.3889,58.0,26.1944,100.0,23768268800.0,23768268800.0,23768268800.0,0.3935,0.4587,0.3935,0.3931
19,3.0732,0.1,2.7795,2.5063,5197153108.0,0.0,0.0,,141.2541,259.083,52.0741,60.0,33.4074,100.0,23768268800.0,23768268800.0,23768268800.0,0.4276,0.4786,0.4276,0.4223
20,3.035,0.1,3.4594,2.7906,5197153108.0,65536.0,122880.0,,123.1464,279.111,50.0882,56.0,28.5294,100.0,23768268800.0,23768268800.0,23768268800.0,0.4102,0.4698,0.4102,0.4079
21,3.0059,0.1,2.8371,2.4656,5197153108.0,0.0,126976.0,,134.197,276.923,52.1071,60.0,36.9286,100.0,23768268800.0,23768268800.0,23768268800.0,0.4471,0.4857,0.4471,0.4411
22,2.9752,0.1,3.4028,2.8844,5197153108.0,0.0,217088.0,,121.792,270.618,50.697,58.0,29.0909,100.0,23768268800.0,23768268800.0,23768268800.0,0.4249,0.4997,0.4249,0.4208
23,2.9501,0.1,2.9562,2.4531,5197153108.0,0.0,200704.0,,129.219,259.172,51.6552,60.0,31.0345,100.0,23768268800.0,23768268800.0,23768268800.0,0.4507,0.4923,0.4507,0.4447
24,2.9281,0.1,3.8515,2.4906,5197153108.0,0.0,225280.0,,123.8704,273.233,49.7632,56.0,27.5789,100.0,23768268800.0,23768268800.0,23768268800.0,0.44,0.5113,0.44,0.44
25,2.8987,0.1,2.8552,2.4188,5197153108.0,0.0,225280.0,,137.338,262.907,52.1429,59.0,32.3214,100.0,23768268800.0,23768268800.0,23768268800.0,0.454,0.5002,0.454,0.448
26,2.8866,0.1,4.0592,2.3937,5197153108.0,0.0,241664.0,,113.2169,269.911,49.7,56.0,24.475,100.0,23768268800.0,23768268800.0,23768268800.0,0.467,0.5056,0.467,0.4608
27,2.8604,0.1,2.9401,2.2625,5197153108.0,0.0,208896.0,,142.8247,260.423,51.7586,59.0,34.4483,100.0,23768268800.0,23768268800.0,23768268800.0,0.4668,0.503,0.4668,0.4601
28,2.8466,0.1,2.7785,2.475,5197153108.0,0.0,0.0,,132.8897,271.012,50.9259,56.0,37.1852,100.0,23768268800.0,23768268800.0,23768268800.0,0.4758,0.5249,0.4758,0.4744
29,2.8256,0.1,2.8538,2.4625,5197153108.0,0.0,0.0,,140.3781,280.721,52.3571,60.0,35.5357,100.0,23768268800.0,23768268800.0,23768268800.0,0.4784,0.5276,0.4784,0.4778
30,2.8111,0.01,3.5533,2.7969,5197153108.0,0.0,143360.0,,127.7533,259.993,50.8857,59.0,26.4571,100.0,23835377664.0,23835377664.0,23835377664.0,0.4838,0.5273,0.4838,0.483
31,2.6197,0.01,2.6474,2.5719,5197153108.0,0.0,61440.0,,147.335,278.643,52.8077,60.0,38.0,100.0,23835377664.0,23835377664.0,23835377664.0,0.571,0.5694,0.571,0.566
32,2.5371,0.01,3.8522,2.5469,5197153108.0,0.0,323584.0,,116.2422,262.738,50.7368,59.0,25.7895,100.0,23835377664.0,23835377664.0,23835377664.0,0.573,0.5751,0.573,0.5699
33,2.5058,0.01,3.0695,2.25,5197153108.0,0.0,393216.0,,134.6157,270.095,52.2333,60.0,33.2,100.0,23835377664.0,23835377664.0,23835377664.0,0.5754,0.577,0.5754,0.572
34,2.4858,0.01,2.6417,2.6375,5197153108.0,0.0,0.0,,141.7528,262.334,52.9231,60.0,35.4615,100.0,23835377664.0,23835377664.0,23835377664.0,0.5787,0.5785,0.5787,0.5747
35,2.4739,0.01,2.833,2.4594,5197153108.0,0.0,299008.0,,143.3179,272.365,52.1786,59.0,35.75,100.0,23835377664.0,23835377664.0,23835377664.0,0.5791,0.5816,0.5791,0.5753
36,2.4547,0.01,3.9749,2.4219,5197153108.0,0.0,16384.0,,109.0423,258.025,49.7179,57.0,25.5128,100.0,23835377664.0,23835377664.0,23835377664.0,0.5843,0.5841,0.5843,0.5804
37,2.4366,0.01,2.8322,2.45,5197153108.0,0.0,180224.0,,132.0311,269.105,52.25,61.0,32.7143,100.0,23835377664.0,23835377664.0,23835377664.0,0.5814,0.586,0.5814,0.5795
38,2.4283,0.01,2.9611,2.3219,5197153108.0,0.0,0.0,,127.6292,275.617,52.0,60.0,32.5172,100.0,23835377664.0,23835377664.0,23835377664.0,0.5784,0.5821,0.5784,0.5754
39,2.4148,0.01,2.9627,2.3844,5197153108.0,0.0,233472.0,,135.9544,258.925,51.5862,58.0,31.4483,100.0,23835377664.0,23835377664.0,23835377664.0,0.5841,0.5868,0.5841,0.5812
40,2.4037,0.01,3.0691,2.3625,5197153108.0,0.0,0.0,,131.604,268.621,51.8667,60.0,35.7333,100.0,23835377664.0,23835377664.0,23835377664.0,0.5811,0.5824,0.5811,0.5765
41,2.3903,0.01,2.6909,2.625,5197153108.0,0.0,376832.0,,145.6588,264.6,52.5,59.0,34.3462,100.0,23835377664.0,23835377664.0,23835377664.0,0.5846,0.5858,0.5846,0.5809
42,2.3832,0.01,2.7585,2.5375,5197153108.0,0.0,12288.0,,142.8579,257.797,52.4815,60.0,33.037,100.0,23835377664.0,23835377664.0,23835377664.0,0.5822,0.587,0.5822,0.5796
43,2.373,0.01,2.8491,2.4469,5197153108.0,0.0,204800.0,,139.858,262.974,52.4643,60.0,33.75,100.0,23835377664.0,23835377664.0,23835377664.0,0.5844,0.5902,0.5844,0.582
44,2.3621,0.01,3.4694,2.7844,5197153108.0,0.0,0.0,,125.6761,267.101,50.8529,58.0,27.1176,99.0,23835377664.0,23835377664.0,23835377664.0,0.5848,0.5872,0.5848,0.5811
45,2.3533,0.01,2.8508,2.5312,5197153108.0,0.0,0.0,,145.5833,273.26,51.4286,57.0,34.8214,100.0,23835377664.0,23835377664.0,23835377664.0,0.5882,0.5912,0.5882,0.5854
46,2.3479,0.01,3.3472,2.8563,5197153108.0,0.0,0.0,,131.2583,268.187,51.3939,59.0,29.2727,100.0,23835377664.0,23835377664.0,23835377664.0,0.5859,0.5895,0.5859,0.5838
47,2.3357,0.01,2.9553,2.3375,5197153108.0,0.0,0.0,,127.5954,277.113,52.1379,60.0,31.931,100.0,23835377664.0,23835377664.0,23835377664.0,0.5853,0.5895,0.5853,0.5828
48,2.3293,0.01,3.0472,2.2563,5197153108.0,0.0,0.0,,129.219,261.922,52.3,60.0,30.7667,100.0,23835377664.0,23835377664.0,23835377664.0,0.5865,0.5877,0.5865,0.5825
49,2.318,0.01,2.7353,2.4688,5197153108.0,0.0,122880.0,,145.4515,262.924,51.8519,57.0,35.6667,100.0,23835377664.0,23835377664.0,23835377664.0,0.586,0.5908,0.586,0.5844
50,2.3134,0.01,2.8683,2.4188,5197153108.0,0.0,0.0,,133.5899,260.02,52.6071,60.0,32.75,100.0,23835377664.0,23835377664.0,23835377664.0,0.5875,0.5922,0.5875,0.5837
51,2.2981,0.01,2.844,2.4156,5197153108.0,0.0,0.0,,133.3097,277.524,52.5714,60.0,35.8929,100.0,23835377664.0,23835377664.0,23835377664.0,0.5843,0.5897,0.5843,0.5824
52,2.2971,0.01,3.4779,2.7938,5197153108.0,0.0,0.0,,130.4999,267.355,51.3529,59.0,29.8529,99.0,23835377664.0,23835377664.0,23835377664.0,0.5837,0.5906,0.5837,0.582
53,2.2873,0.01,3.1345,2.1719,5197153108.0,0.0,12288.0,,127.5144,267.21,52.4194,60.0,32.2903,100.0,23835377664.0,23835377664.0,23835377664.0,0.5869,0.5931,0.5869,0.5852
54,2.2752,0.01,3.2784,2.125,5197153108.0,0.0,208896.0,,122.6051,269.934,51.0625,57.0,31.7188,100.0,23835377664.0,23835377664.0,23835377664.0,0.588,0.591,0.588,0.5852
55,2.2678,0.01,2.8415,2.4094,5197153108.0,0.0,0.0,,142.1911,268.361,52.1429,58.0,34.2143,100.0,23835377664.0,23835377664.0,23835377664.0,0.5899,0.5912,0.5899,0.5863
56,2.2571,0.01,2.8534,2.4094,5197153108.0,0.0,0.0,,133.653,258.687,52.8214,60.0,33.1429,100.0,23835377664.0,23835377664.0,23835377664.0,0.5875,0.5925,0.5875,0.5849
57,2.2573,0.01,2.6541,2.5906,5197153108.0,0.0,0.0,,142.9856,275.949,53.1538,60.0,38.5385,100.0,23835377664.0,23835377664.0,23835377664.0,0.5808,0.5922,0.5808,0.5808
58,2.2514,0.01,2.8627,2.4344,5197153108.0,0.0,0.0,,130.5308,258.044,52.6071,60.0,31.7857,100.0,23835377664.0,23835377664.0,23835377664.0,0.5867,0.5936,0.5867,0.5851
59,2.2423,0.01,3.6849,2.6625,5197153108.0,0.0,0.0,,117.8757,258.292,51.1667,59.0,26.5556,100.0,23835377664.0,23835377664.0,23835377664.0,0.5872,0.5922,0.5872,0.5845
60,2.2395,0.001,3.8399,2.5625,5197153108.0,0.0,380928.0,,110.5044,260.202,50.1316,56.0,25.3158,100.0,23835377664.0,23835377664.0,23835377664.0,0.5895,0.5974,0.5895,0.5884
61,2.19,0.001,3.1615,2.2031,5197153108.0,0.0,0.0,,137.4514,261.27,51.7419,58.0,31.0323,100.0,23902486528.0,23902486528.0,23902486528.0,0.5986,0.6008,0.5986,0.5968
