model_name,seed,config_path,train_data_path,val_data_path,model_params,train_params,inference_params,scheduler_params,lr_base
mobilenet_V1,52,configs/mobilenet_V1_config.yaml,/scratch/ehdmenezes//tiny-imagenet-200/train,/scratch/ehdmenezes//tiny-imagenet-200/val,"{'num_classes': 200}","{'epochs': 100, 'batch_size': 1024, 'learning_rate': 0.1}","{'batch_size': 1024}","{'type': 'StepLR', 'step_size': 30, 'gamma': 0.1}",0.1
epoch,train_loss,lr,elapsed_time_seconds,cpu_usage_percent,ram_peak_bytes,disk_read_bytes,disk_write_bytes,vram_peak_bytes,gpu_power_watts_avg,gpu_power_watts_peak,gpu_temp_celsius_avg,gpu_temp_celsius_peak,gpu_util_percent_avg,gpu_util_percent_peak,gpu_mem_used_bytes_avg,gpu_mem_used_bytes_peak,gpu_vram_used_bytes,val_accuracy,val_precision,val_recall,val_f1
1,5.153,0.1,4.5108,2.175,31679545344.0,3121152.0,28000256.0,5197153108.0,114.7483,261.291,51.0909,59.0,21.8182,100.0,23428530176.0,23428530176.0,23428530176.0,0.033,0.0149,0.033,0.0135
2,4.7092,0.1,5.4284,2.4906,31650971648.0,32571392.0,241664.0,5197153108.0,109.3302,249.5,49.6863,56.0,17.451,100.0,23696965632.0,23696965632.0,23696965632.0,0.0798,0.0752,0.0798,0.0551
3,4.4165,0.1,4.0162,2.1469,31651160064.0,0.0,0.0,5197153108.0,127.9936,254.258,51.0513,58.0,24.9231,100.0,23797628928.0,23797628928.0,23797628928.0,0.1384,0.1547,0.1384,0.1106
4,4.2245,0.1,4.2139,2.0531,31651360768.0,0.0,0.0,5197153108.0,117.6218,264.109,50.5366,56.0,24.0488,100.0,23797628928.0,23797628928.0,23797628928.0,0.1693,0.1948,0.1693,0.1418
5,4.0723,0.1,5.8033,2.2437,31651446784.0,0.0,241664.0,5197153108.0,106.988,243.491,50.2321,57.0,16.3929,100.0,23797628928.0,23797628928.0,23797628928.0,0.2084,0.2317,0.2084,0.1869
6,3.9305,0.1,3.9343,2.1906,31652605952.0,0.0,319488.0,5197153108.0,123.7565,247.876,51.7368,59.0,25.5526,100.0,23797628928.0,23797628928.0,23797628928.0,0.2376,0.2671,0.2376,0.2125
7,3.8119,0.1,4.2188,2.0656,31655424000.0,0.0,0.0,5197153108.0,113.6168,248.019,50.7317,56.0,22.7073,100.0,23797628928.0,23797628928.0,23797628928.0,0.2598,0.2965,0.2598,0.2327
8,3.7007,0.1,5.354,2.475,31663599616.0,0.0,241664.0,5197153108.0,105.77,264.265,50.1538,56.0,17.9808,100.0,23797628928.0,23797628928.0,23797628928.0,0.2842,0.3194,0.2842,0.2549
9,3.6085,0.1,5.4788,2.3563,31673327616.0,0.0,258048.0,5197153108.0,107.3114,265.989,50.283,57.0,17.9623,100.0,23797628928.0,23797628928.0,23797628928.0,0.3164,0.3519,0.3164,0.2938
10,3.526,0.1,5.2005,2.4688,31682809856.0,0.0,241664.0,5197153108.0,118.5736,247.197,50.8235,58.0,19.7647,99.0,23797628928.0,23797628928.0,23797628928.0,0.3374,0.368,0.3374,0.322
11,3.449,0.1,3.7295,2.3281,31687081984.0,0.0,0.0,5197153108.0,133.9751,257.793,51.3889,56.0,28.8611,99.0,23898292224.0,23898292224.0,23898292224.0,0.3305,0.3919,0.3305,0.3211
12,3.3838,0.1,4.2436,2.2969,31691509760.0,0.0,0.0,5197153108.0,114.6183,261.616,51.6667,59.0,24.6667,100.0,23898292224.0,23898292224.0,23898292224.0,0.3318,0.3934,0.3318,0.3185
13,3.3235,0.1,4.9366,2.5375,31702020096.0,0.0,299008.0,5197153108.0,120.8013,242.957,50.5833,56.0,21.3958,100.0,23898292224.0,23898292224.0,23898292224.0,0.3672,0.41,0.3672,0.3603
14,3.2683,0.1,4.3615,1.9688,31706759168.0,0.0,16384.0,5197153108.0,117.4076,265.24,51.4186,59.0,22.9302,100.0,23898292224.0,23898292224.0,23898292224.0,0.399,0.4337,0.399,0.3856
15,3.2219,0.1,3.7599,2.3031,31708487680.0,0.0,0.0,5197153108.0,132.9984,242.842,51.9189,58.0,24.2162,98.0,23898292224.0,23898292224.0,23898292224.0,0.406,0.4227,0.406,0.3885
16,3.1752,0.1,4.0427,2.1406,31709499392.0,0.0,8192.0,5197153108.0,126.8272,249.416,51.2308,57.0,22.6154,100.0,23898292224.0,23898292224.0,23898292224.0,0.4059,0.4464,0.4059,0.3967
17,3.1424,0.1,4.231,2.0156,31709540352.0,1318912.0,8192.0,5197153108.0,120.2571,262.187,51.8049,60.0,25.5366,100.0,23898292224.0,23898292224.0,23898292224.0,0.4266,0.4661,0.4266,0.4175
18,3.1007,0.1,5.0798,2.4906,31709609984.0,114688.0,262144.0,5197153108.0,118.6254,250.904,50.8776,57.0,21.4898,100.0,23898292224.0,23898292224.0,23898292224.0,0.3974,0.4739,0.3974,0.3989
19,3.0643,0.1,4.8012,2.6938,31709618176.0,0.0,237568.0,5197153108.0,105.4046,271.125,51.4,60.0,20.5778,100.0,23898292224.0,23898292224.0,23898292224.0,0.4128,0.4653,0.4128,0.4051
20,3.0336,0.1,3.9608,2.1688,31709675520.0,0.0,319488.0,5197153108.0,122.2059,253.264,52.0,60.0,24.2564,100.0,23898292224.0,23898292224.0,23898292224.0,0.4046,0.4802,0.4046,0.3961
21,3.0033,0.1,4.8327,2.6562,31709696000.0,0.0,0.0,5197153108.0,119.401,242.664,51.2979,58.0,20.7021,99.0,23898292224.0,23898292224.0,23898292224.0,0.4459,0.4947,0.4459,0.4413
22,2.9719,0.1,5.3343,2.3719,31709696000.0,0.0,237568.0,5197153108.0,113.8613,243.345,51.0,59.0,19.7885,100.0,23898292224.0,23898292224.0,23898292224.0,0.4609,0.5048,0.4609,0.4548
23,2.9506,0.1,3.7199,2.3188,31709712384.0,0.0,0.0,5197153108.0,121.9757,266.356,52.1944,59.0,27.6111,100.0,23898292224.0,23898292224.0,23898292224.0,0.4266,0.497,0.4266,0.4231
24,2.9246,0.1,4.4354,2.2969,31709736960.0,0.0,0.0,5197153108.0,118.8044,247.935,51.0233,56.0,22.3953,100.0,23898292224.0,23898292224.0,23898292224.0,0.4582,0.5085,0.4582,0.456
25,2.9062,0.1,4.7337,2.7188,31709757440.0,12288.0,192512.0,5197153108.0,125.473,242.74,51.2826,58.0,20.3913,99.0,23898292224.0,23898292224.0,23898292224.0,0.46,0.5142,0.46,0.4567
26,2.8858,0.1,3.7457,2.3937,31709863936.0,0.0,0.0,5197153108.0,124.1138,260.234,52.1667,60.0,25.6111,100.0,23898292224.0,23898292224.0,23898292224.0,0.4632,0.5107,0.4632,0.4623
27,2.8741,0.1,4.2137,2.0406,31709851648.0,0.0,323584.0,5197153108.0,115.3121,262.033,51.8049,59.0,23.6341,100.0,23898292224.0,23898292224.0,23898292224.0,0.4842,0.5256,0.4842,0.4838
28,2.8508,0.1,4.1244,2.1531,31709888512.0,0.0,16384.0,5197153108.0,125.6369,247.87,51.4,56.0,25.375,100.0,23898292224.0,23898292224.0,23898292224.0,0.4587,0.5176,0.4587,0.4576
29,2.829,0.1,5.0368,2.5938,31709888512.0,0.0,241664.0,5197153108.0,115.0003,248.884,51.3061,59.0,19.1429,100.0,23898292224.0,23898292224.0,23898292224.0,0.4538,0.5153,0.4538,0.4527
30,2.8108,0.01,5.4369,2.3,31709888512.0,0.0,241664.0,5197153108.0,107.4993,260.546,50.9623,58.0,18.8491,100.0,23898292224.0,23898292224.0,23898292224.0,0.4504,0.5471,0.4504,0.4539
31,2.6244,0.01,4.8885,2.5875,31709896704.0,0.0,253952.0,5197153108.0,114.5166,254.782,51.3125,59.0,20.3542,100.0,23898292224.0,23898292224.0,23898292224.0,0.5691,0.569,0.5691,0.5642
32,2.5357,0.01,3.9842,2.1812,31710023680.0,0.0,339968.0,5197153108.0,126.8223,250.641,51.9231,59.0,26.4103,100.0,23898292224.0,23898292224.0,23898292224.0,0.5749,0.5745,0.5749,0.5701
