epoch,train_loss,lr,epoch_ts,training_time_seconds,inference_time_seconds,elapsed_time_seconds,cpu_usage_percent,ram_peak_bytes,disk_read_bytes,disk_write_bytes,vram_peak_bytes,gpu_power_watts_avg,gpu_power_watts_peak,gpu_temp_celsius_avg,gpu_temp_celsius_peak,gpu_util_percent_avg,gpu_util_percent_peak,gpu_mem_used_bytes_avg,gpu_mem_used_bytes_peak,gpu_vram_used_bytes,val_accuracy,val_precision,val_recall,val_f1
1,5.153,0.1,2025-11-24 17:05:56.464,70.229,7.629,7.5802,3.6875,5197153108.0,0.0,14741504.0,,92.1746,239.117,48.6667,56.0,17.0267,100.0,23399170048.0,23399170048.0,23399170048.0,0.033,0.0149,0.033,0.0135
2,4.7092,0.1,2025-11-24 17:06:59.359,55.267,7.779,7.7211,3.7125,5197153108.0,0.0,102400.0,,89.7618,249.777,50.0921,57.0,16.5658,100.0,23667605504.0,23667605504.0,23667605504.0,0.0798,0.0752,0.0798,0.0551
3,4.4165,0.1,2025-11-24 17:08:02.677,55.537,6.926,6.8798,4.0938,5197153108.0,0.0,94208.0,,102.5105,225.012,51.9412,59.0,18.2206,100.0,23768268800.0,23768268800.0,23768268800.0,0.1384,0.1547,0.1384,0.1106
4,4.2245,0.1,2025-11-24 17:09:05.518,55.916,7.326,7.2797,3.8875,5197153108.0,0.0,102400.0,,93.0029,253.373,52.5417,60.0,17.4722,100.0,23768268800.0,23768268800.0,23768268800.0,0.1693,0.1948,0.1693,0.1418
5,4.0723,0.1,2025-11-24 17:10:07.193,54.347,7.255,7.2085,3.8563,5197153108.0,0.0,98304.0,,97.859,219.652,53.5775,60.0,17.7746,100.0,23774560256.0,23774560256.0,23774560256.0,0.2084,0.2317,0.2084,0.1869
6,3.9305,0.1,2025-11-24 17:11:13.894,59.446,7.536,7.4896,3.7687,5197153108.0,0.0,180224.0,,94.1788,250.646,53.5811,62.0,16.0135,100.0,23774560256.0,23774560256.0,23774560256.0,0.2376,0.2671,0.2376,0.2125
7,3.8119,0.1,2025-11-24 17:12:22.294,60.871,8.082,8.0325,4.25,5197153108.0,0.0,139264.0,,90.4075,257.495,53.4304,61.0,16.519,100.0,23774560256.0,23774560256.0,23774560256.0,0.2598,0.2965,0.2598,0.2327
8,3.7007,0.1,2025-11-24 17:13:24.746,54.364,7.232,7.1856,3.9813,5197153108.0,0.0,106496.0,,95.8106,260.331,54.3803,62.0,18.5211,100.0,23774560256.0,23774560256.0,23774560256.0,0.2842,0.3194,0.2842,0.2549
9,3.6085,0.1,2025-11-24 17:14:27.540,55.561,7.332,7.2852,3.8188,5197153108.0,0.0,94208.0,,98.5238,250.656,54.7917,62.0,17.125,100.0,23774560256.0,23774560256.0,23774560256.0,0.3164,0.3519,0.3164,0.2938
10,3.526,0.1,2025-11-24 17:15:30.302,55.431,7.457,7.4104,3.75,5197153108.0,0.0,94208.0,,96.9669,248.656,55.0137,63.0,17.2329,100.0,23774560256.0,23774560256.0,23774560256.0,0.3374,0.368,0.3374,0.322
11,3.449,0.1,2025-11-24 17:16:33.244,55.484,7.357,7.3098,3.8875,5197153108.0,0.0,94208.0,,97.5007,247.901,55.5833,63.0,18.8611,100.0,23875223552.0,23875223552.0,23875223552.0,0.3305,0.3919,0.3305,0.3211
12,3.3838,0.1,2025-11-24 17:17:36.509,55.908,7.863,7.8154,3.5125,5197153108.0,0.0,98304.0,,91.2027,246.866,55.2597,62.0,16.1688,100.0,23881515008.0,23881515008.0,23881515008.0,0.3318,0.3934,0.3318,0.3185
13,3.3235,0.1,2025-11-24 17:18:41.290,56.924,7.681,7.6319,4.1625,5197153108.0,0.0,86016.0,,98.4614,217.452,55.6533,63.0,16.7733,100.0,23881515008.0,23881515008.0,23881515008.0,0.3672,0.41,0.3672,0.3603
14,3.2683,0.1,2025-11-24 17:19:44.530,55.56,7.99,7.9419,3.95,5197153108.0,0.0,86016.0,,93.6897,257.969,55.7692,63.0,16.1282,100.0,23881515008.0,23881515008.0,23881515008.0,0.399,0.4337,0.399,0.3856
15,3.2219,0.1,2025-11-24 17:20:52.783,60.257,7.23,7.1834,3.8687,5197153108.0,0.0,163840.0,,104.3921,207.516,55.8028,63.0,17.7465,100.0,23881515008.0,23881515008.0,23881515008.0,0.406,0.4227,0.406,0.3885
16,3.1752,0.1,2025-11-24 17:21:54.960,54.953,8.105,8.0564,4.3375,5197153108.0,0.0,81920.0,,95.1127,220.614,55.9114,64.0,14.7595,100.0,23881515008.0,23881515008.0,23881515008.0,0.4059,0.4464,0.4059,0.3967
17,3.1424,0.1,2025-11-24 17:22:57.678,54.607,7.361,7.3151,3.775,5197153108.0,0.0,94208.0,,99.5243,234.929,56.1667,63.0,17.4444,100.0,23881515008.0,23881515008.0,23881515008.0,0.4266,0.4661,0.4266,0.4175
18,3.1007,0.1,2025-11-24 17:23:59.968,54.928,7.767,7.7203,3.6437,5197153108.0,0.0,94208.0,,94.7075,252.406,55.9605,63.0,16.1711,100.0,23881515008.0,23881515008.0,23881515008.0,0.3974,0.4739,0.3974,0.3989
19,3.0643,0.1,2025-11-24 17:25:02.290,54.555,7.25,7.2023,3.9625,5197153108.0,0.0,94208.0,,101.1885,250.619,56.2535,63.0,17.2535,100.0,23881515008.0,23881515008.0,23881515008.0,0.4128,0.4653,0.4128,0.4051
20,3.0336,0.1,2025-11-24 17:26:04.283,54.743,7.469,7.4212,3.725,5197153108.0,0.0,98304.0,,102.0097,241.147,56.2603,65.0,16.7671,100.0,23881515008.0,23881515008.0,23881515008.0,0.4046,0.4802,0.4046,0.3961
21,3.0033,0.1,2025-11-24 17:27:07.442,55.69,7.766,7.7191,3.6812,5197153108.0,0.0,94208.0,,93.0224,247.837,55.6842,63.0,17.5921,100.0,23881515008.0,23881515008.0,23881515008.0,0.4459,0.4947,0.4459,0.4413
22,2.9719,0.1,2025-11-24 17:28:10.230,55.022,7.245,7.1981,3.8875,5197153108.0,28672.0,151552.0,,95.7485,251.126,55.8169,63.0,17.1268,100.0,23881515008.0,23881515008.0,23881515008.0,0.4609,0.5048,0.4609,0.4548
23,2.9506,0.1,2025-11-24 17:29:12.370,54.902,7.869,7.8211,4.1813,5197153108.0,0.0,90112.0,,92.5044,258.061,55.6184,63.0,15.8816,100.0,23881515008.0,23881515008.0,23881515008.0,0.4266,0.497,0.4266,0.4231
24,2.9246,0.1,2025-11-24 17:30:16.251,56.006,7.851,7.8043,3.55,5197153108.0,0.0,200704.0,,92.1897,244.25,55.5974,63.0,16.3636,100.0,23881515008.0,23881515008.0,23881515008.0,0.4582,0.5085,0.4582,0.456
25,2.9062,0.1,2025-11-24 17:31:19.054,54.952,7.465,7.4185,3.725,5197153108.0,0.0,319488.0,,101.3599,245.1,55.9589,63.0,17.2329,100.0,23881515008.0,23881515008.0,23881515008.0,0.46,0.5142,0.46,0.4567
26,2.8858,0.1,2025-11-24 17:32:22.064,55.545,7.562,7.5157,3.8188,5197153108.0,0.0,90112.0,,102.623,242.881,56.0811,64.0,17.8649,100.0,23881515008.0,23881515008.0,23881515008.0,0.4632,0.5107,0.4632,0.4623
27,2.8741,0.1,2025-11-24 17:33:23.740,54.113,7.503,7.4555,3.75,5197153108.0,0.0,98304.0,,94.4275,245.688,55.8767,62.0,17.2329,100.0,23881515008.0,23881515008.0,23881515008.0,0.4842,0.5256,0.4842,0.4838
28,2.8508,0.1,2025-11-24 17:34:25.630,54.387,7.76,7.7123,3.575,5197153108.0,0.0,106496.0,,100.7305,242.772,56.1842,63.0,16.5526,100.0,23881515008.0,23881515008.0,23881515008.0,0.4587,0.5176,0.4587,0.4576
29,2.829,0.1,2025-11-24 17:35:29.279,55.889,7.132,7.085,3.9,5197153108.0,0.0,114688.0,,102.494,235.665,56.2,64.0,17.9429,99.0,23881515008.0,23881515008.0,23881515008.0,0.4538,0.5153,0.4538,0.4527
30,2.8108,0.01,2025-11-24 17:36:31.401,54.99,6.86,6.8128,4.25,5197153108.0,0.0,102400.0,,101.3861,221.382,56.403,64.0,18.3881,100.0,23881515008.0,23881515008.0,23881515008.0,0.4504,0.5471,0.4504,0.4539
31,2.6244,0.01,2025-11-24 17:37:33.303,55.042,7.459,7.4125,3.7625,5197153108.0,0.0,139264.0,,99.4047,238.507,56.2877,64.0,17.2055,100.0,23881515008.0,23881515008.0,23881515008.0,0.5691,0.569,0.5691,0.5642
32,2.5357,0.01,2025-11-24 17:38:36.048,55.287,7.442,7.3959,3.7437,5197153108.0,0.0,98304.0,,103.3759,255.943,56.3699,64.0,16.726,100.0,23881515008.0,23881515008.0,23881515008.0,0.5749,0.5745,0.5749,0.5701
33,2.5059,0.01,2025-11-24 17:39:38.593,55.102,7.737,7.69,3.6313,5197153108.0,0.0,94208.0,,96.5271,257.002,55.9079,64.0,16.5263,100.0,23881515008.0,23881515008.0,23881515008.0,0.5773,0.5769,0.5773,0.572
34,2.4845,0.01,2025-11-24 17:40:41.831,55.501,7.578,7.5315,3.725,5197153108.0,0.0,94208.0,,103.1225,219.393,56.2973,64.0,16.7027,100.0,23881515008.0,23881515008.0,23881515008.0,0.5811,0.5803,0.5811,0.5761
35,2.4685,0.01,2025-11-24 17:41:44.346,54.937,7.99,7.9424,3.4937,5197153108.0,0.0,98304.0,,96.1306,251.785,55.9359,63.0,16.1282,100.0,23881515008.0,23881515008.0,23881515008.0,0.5825,0.5827,0.5825,0.5779
36,2.4584,0.01,2025-11-24 17:42:47.180,54.844,7.658,7.6112,3.6688,5197153108.0,0.0,90112.0,,95.85,249.402,55.9733,63.0,16.7733,100.0,23881515008.0,23881515008.0,23881515008.0,0.5804,0.5796,0.5804,0.5759
37,2.4358,0.01,2025-11-24 17:43:50.361,55.524,7.636,7.5895,3.6875,5197153108.0,0.0,110592.0,,95.7493,246.031,55.9867,64.0,16.7733,100.0,23881515008.0,23881515008.0,23881515008.0,0.5842,0.5846,0.5842,0.5801
38,2.4243,0.01,2025-11-24 17:44:52.758,54.761,7.568,7.5208,3.8625,5197153108.0,0.0,81920.0,,97.4255,256.872,55.8919,63.0,17.0135,100.0,23881515008.0,23881515008.0,23881515008.0,0.584,0.5851,0.584,0.5799
39,2.4175,0.01,2025-11-24 17:45:55.733,55.406,7.776,7.7296,3.5812,5197153108.0,0.0,188416.0,,97.8187,247.76,56.0263,64.0,16.1053,100.0,23881515008.0,23881515008.0,23881515008.0,0.5861,0.5858,0.5861,0.5816
40,2.4118,0.01,2025-11-24 17:46:58.294,54.785,7.486,7.4394,3.7687,5197153108.0,0.0,94208.0,,99.3354,239.218,56.1918,64.0,17.2055,100.0,23881515008.0,23881515008.0,23881515008.0,0.586,0.5877,0.586,0.5824
41,2.3969,0.01,2025-11-24 17:48:00.617,54.837,7.663,7.6167,3.7938,5197153108.0,0.0,90112.0,,100.244,253.491,56.08,63.0,16.5333,100.0,23881515008.0,23881515008.0,23881515008.0,0.5867,0.586,0.5867,0.5819
42,2.3781,0.01,2025-11-24 17:49:03.567,55.287,7.563,7.5154,3.7563,5197153108.0,0.0,90112.0,,100.2957,240.712,55.8243,64.0,16.973,100.0,23881515008.0,23881515008.0,23881515008.0,0.5842,0.5848,0.5842,0.5795
43,2.3788,0.01,2025-11-24 17:50:05.647,54.517,7.136,7.0887,3.95,5197153108.0,0.0,94208.0,,105.4528,259.92,56.2,64.0,18.0,100.0,23881515008.0,23881515008.0,23881515008.0,0.5859,0.5844,0.5859,0.581
44,2.3681,0.01,2025-11-24 17:51:07.923,55.14,7.756,7.71,3.7437,5197153108.0,0.0,94208.0,,95.2373,250.302,55.8553,64.0,15.6447,100.0,23881515008.0,23881515008.0,23881515008.0,0.5897,0.5917,0.5897,0.5859
45,2.3563,0.01,2025-11-24 17:52:10.420,54.741,7.462,7.4142,3.7313,5197153108.0,0.0,143360.0,,96.2804,260.283,56.0685,64.0,17.2329,100.0,23881515008.0,23881515008.0,23881515008.0,0.5909,0.5919,0.5909,0.5863
46,2.3477,0.01,2025-11-24 17:53:13.143,55.263,8.015,7.9677,3.4688,5197153108.0,0.0,184320.0,,94.2185,257.366,55.8228,63.0,15.8987,100.0,23881515008.0,23881515008.0,23881515008.0,0.5879,0.5882,0.5879,0.5841
47,2.3401,0.01,2025-11-24 17:54:15.627,54.467,7.264,7.2175,3.975,5197153108.0,0.0,163840.0,,100.1335,257.399,56.3099,64.0,17.6901,100.0,23881515008.0,23881515008.0,23881515008.0,0.5891,0.5926,0.5891,0.5871
48,2.3271,0.01,2025-11-24 17:55:18.359,55.468,7.586,7.5385,3.7,5197153108.0,0.0,258048.0,,97.0181,246.766,56.1757,63.0,16.6757,100.0,23881515008.0,23881515008.0,23881515008.0,0.5854,0.59,0.5854,0.5828
49,2.3242,0.01,2025-11-24 17:56:20.995,55.051,7.132,7.0851,3.9438,5197153108.0,0.0,94208.0,,101.1681,248.106,56.5429,64.0,17.7143,100.0,23881515008.0,23881515008.0,23881515008.0,0.59,0.5962,0.59,0.5878
50,2.3208,0.01,2025-11-24 17:57:23.160,55.032,7.534,7.4871,3.75,5197153108.0,0.0,90112.0,,103.8873,242.921,56.5405,64.0,16.8919,100.0,23881515008.0,23881515008.0,23881515008.0,0.5895,0.5928,0.5895,0.586
51,2.3139,0.01,2025-11-24 17:58:26.304,55.61,7.731,7.6841,3.6375,5197153108.0,0.0,98304.0,,98.7005,228.628,56.1579,63.0,17.8421,100.0,23881515008.0,23881515008.0,23881515008.0,0.5895,0.5926,0.5895,0.5865
52,2.2925,0.01,2025-11-24 17:59:28.447,54.413,7.35,7.3041,3.825,5197153108.0,0.0,98304.0,,102.7095,250.869,56.3611,63.0,17.4167,100.0,23881515008.0,23881515008.0,23881515008.0,0.593,0.5989,0.593,0.5917
53,2.2935,0.01,2025-11-24 18:00:31.587,55.789,7.635,7.5882,3.725,5197153108.0,0.0,98304.0,,104.2198,218.382,56.36,63.0,16.8,100.0,23881515008.0,23881515008.0,23881515008.0,0.587,0.591,0.587,0.5838
54,2.2869,0.01,2025-11-24 18:01:35.104,55.882,7.247,7.2,4.0125,5197153108.0,0.0,90112.0,,103.5278,197.921,56.1549,64.0,17.7465,100.0,23881515008.0,23881515008.0,23881515008.0,0.5939,0.5967,0.5939,0.5901
55,2.2781,0.01,2025-11-24 18:02:37.180,54.83,7.589,7.5423,3.9,5197153108.0,0.0,94208.0,,99.9722,236.757,56.027,63.0,16.9324,100.0,23881515008.0,23881515008.0,23881515008.0,0.59,0.5939,0.59,0.5868
