epoch,train_loss,lr,epoch_ts,training_time_seconds,inference_time_seconds,elapsed_time_seconds,cpu_usage_percent,ram_peak_bytes,disk_read_bytes,disk_write_bytes,vram_peak_bytes,gpu_power_watts_avg,gpu_power_watts_peak,gpu_temp_celsius_avg,gpu_temp_celsius_peak,gpu_util_percent_avg,gpu_util_percent_peak,gpu_mem_used_bytes_avg,gpu_mem_used_bytes_peak,gpu_vram_used_bytes,val_accuracy,val_precision,val_recall,val_f1
1,5.0588,0.1,2025-11-24 21:56:36.917,599.73,17.367,17.3425,3.4875,2840555052.0,524288.0,14147584.0,,353.8961,363.809,65.6453,67.0,97.7267,100.0,15618748320.7442,15620833280.0,15620833280.0,0.0503,0.044,0.0503,0.0287
2,4.8021,0.1,2025-11-24 22:06:53.344,599.06,17.273,17.2513,3.5063,2840555052.0,0.0,925696.0,,355.3667,364.788,65.4854,67.0,97.8129,100.0,15620833280.0,15620833280.0,15620833280.0,0.0878,0.0732,0.0878,0.0611
3,4.5725,0.1,2025-11-24 22:17:09.860,599.243,17.279,17.2572,3.5063,2840555052.0,0.0,856064.0,,356.2774,365.646,66.193,68.0,97.848,100.0,15620833280.0,15620833280.0,15620833280.0,0.0965,0.1133,0.0965,0.069
4,4.3977,0.1,2025-11-24 22:27:26.637,599.498,17.166,17.1431,3.3375,2840555052.0,0.0,872448.0,,354.5265,362.953,65.4059,67.0,98.1294,100.0,15620833280.0,15620833280.0,15620833280.0,0.1363,0.1681,0.1363,0.1094
5,4.2871,0.1,2025-11-24 22:37:42.562,598.758,17.262,17.2395,3.3281,2840555052.0,0.0,1110016.0,,347.8394,357.795,65.3392,67.0,97.848,100.0,15755051008.0,15755051008.0,15755051008.0,0.1522,0.2131,0.1522,0.1247
6,4.1909,0.1,2025-11-24 22:47:58.731,598.909,17.366,17.3435,3.4844,2840555052.0,0.0,1019904.0,,347.6545,359.337,65.5988,67.0,97.8256,100.0,15755051008.0,15755051008.0,15755051008.0,0.1774,0.2472,0.1774,0.1483
7,4.1199,0.1,2025-11-24 22:58:15.104,599.007,17.179,17.1561,3.3375,2840555052.0,0.0,1126400.0,,347.9642,358.948,65.1353,67.0,98.1412,100.0,15755051008.0,15755051008.0,15755051008.0,0.159,0.2504,0.159,0.1411
8,4.0669,0.1,2025-11-24 23:08:31.300,599.015,17.476,17.453,3.4594,2840555052.0,0.0,679936.0,,350.3293,359.281,65.4682,67.0,97.6012,100.0,15755051008.0,15755051008.0,15755051008.0,0.1887,0.2618,0.1887,0.1649
9,4.0243,0.1,2025-11-24 23:18:47.400,598.624,17.185,17.1623,3.3375,2840555052.0,0.0,856064.0,,347.8219,358.132,65.2588,67.0,98.1412,100.0,15822159872.0,15822159872.0,15822159872.0,0.1759,0.2649,0.1759,0.1552
10,3.9922,0.1,2025-11-24 23:29:03.444,598.858,17.261,17.2378,3.325,2840555052.0,0.0,909312.0,,349.7821,358.281,65.5965,67.0,98.152,100.0,15822159872.0,15822159872.0,15822159872.0,0.2125,0.3008,0.2125,0.1896
11,3.9608,0.1,2025-11-24 23:39:19.020,598.314,17.157,17.1334,3.3344,2840555052.0,0.0,675840.0,,345.7816,352.234,65.0824,67.0,98.5294,100.0,15822159872.0,15822159872.0,15822159872.0,0.2098,0.2912,0.2098,0.181
12,3.9402,0.1,2025-11-24 23:49:34.624,598.449,17.267,17.2436,3.375,2840555052.0,0.0,671744.0,,346.4047,355.624,64.9532,67.0,97.4912,100.0,15855714304.0,15855714304.0,15855714304.0,0.207,0.3194,0.207,0.1803
13,3.9241,0.1,2025-11-24 23:59:50.596,598.705,17.347,17.3243,3.3031,2840555052.0,0.0,954368.0,,345.2182,354.899,65.4651,67.0,97.4419,100.0,15855714304.0,15855714304.0,15855714304.0,0.2101,0.3048,0.2101,0.1869
14,3.9025,0.1,2025-11-25 00:10:10.491,602.548,17.296,17.2736,3.4906,2840555052.0,0.0,1056768.0,,344.0452,353.551,64.7251,66.0,97.6608,100.0,16023486464.0,16023486464.0,16023486464.0,0.2254,0.3188,0.2254,0.1954
15,3.8894,0.1,2025-11-25 00:20:27.145,599.358,17.477,17.4539,3.4656,2840555052.0,0.0,1216512.0,,336.7111,350.018,64.4682,66.0,96.9942,100.0,16023486464.0,16023486464.0,16023486464.0,0.2362,0.3269,0.2362,0.2176
16,3.8741,0.1,2025-11-25 00:30:42.696,598.074,17.27,17.2465,3.3125,2840555052.0,0.0,937984.0,,340.5635,351.1,65.0468,67.0,97.8129,100.0,16023486464.0,16023486464.0,16023486464.0,0.2391,0.3277,0.2391,0.2151
