model_name,seed,config_path,train_data_path,val_data_path,model_params,train_params,inference_params,scheduler_params,lr_base
shufflenet_v2,42,configs/shufflenet_v2_config.yaml,/scratch/ehdmenezes//tiny-imagenet-200/train,/scratch/ehdmenezes//tiny-imagenet-200/val,"{'num_classes': 200}","{'epochs': 100, 'batch_size': 512, 'learning_rate': 0.1}","{'batch_size': 512}","{'type': 'StepLR', 'step_size': 30, 'gamma': 0.1}",0.1
epoch,train_loss,lr,elapsed_time_seconds,cpu_usage_percent,ram_peak_bytes,disk_read_bytes,disk_write_bytes,vram_peak_bytes,gpu_power_watts_avg,gpu_power_watts_peak,gpu_temp_celsius_avg,gpu_temp_celsius_peak,gpu_util_percent_avg,gpu_util_percent_peak,gpu_mem_used_bytes_avg,gpu_mem_used_bytes_peak,gpu_vram_used_bytes,val_accuracy,val_precision,val_recall,val_f1
1,5.1538,0.1,5.9277,4.025,9136001024.0,0.0,2822144.0,1124251316.0,72.9352,132.777,44.7966,48.0,11.7797,99.0,5462228992.0,5462228992.0,5462228992.0,0.0384,0.0235,0.0384,0.0202
2,4.8037,0.1,6.2671,3.8375,10211602432.0,0.0,167936.0,1124251316.0,75.6947,131.956,43.5968,47.0,11.3226,98.0,5464326144.0,5464326144.0,5464326144.0,0.0655,0.0737,0.0655,0.0479
3,4.5749,0.1,5.9467,4.0125,10213429248.0,0.0,159744.0,1124251316.0,71.5898,123.39,42.8814,48.0,10.322,98.0,5833424896.0,5833424896.0,5833424896.0,0.1139,0.1078,0.1139,0.084
4,4.3956,0.1,5.9516,3.9375,10213507072.0,0.0,86016.0,1124251316.0,76.8075,144.328,46.6949,51.0,12.5763,99.0,5833424896.0,5833424896.0,5833424896.0,0.1321,0.1379,0.1321,0.1029
5,4.2504,0.1,6.1057,3.8188,10213638144.0,0.0,151552.0,1124251316.0,71.7558,123.885,44.5333,48.0,11.55,99.0,5833424896.0,5833424896.0,5833424896.0,0.1546,0.182,0.1546,0.1294
6,4.1434,0.1,6.0325,3.8125,10217582592.0,0.0,151552.0,1124251316.0,77.837,137.886,43.8667,47.0,11.4,98.0,5833424896.0,5833424896.0,5833424896.0,0.1749,0.19,0.1749,0.1504
7,4.0512,0.1,6.1599,3.775,10227810304.0,0.0,151552.0,1124251316.0,77.8542,140.541,43.7869,47.0,10.5738,98.0,5833424896.0,5833424896.0,5833424896.0,0.176,0.2173,0.176,0.149
8,3.9766,0.1,6.0317,3.8125,10764804096.0,0.0,135168.0,1124251316.0,76.9098,133.385,43.6333,46.0,11.7667,88.0,5833424896.0,5833424896.0,5833424896.0,0.1915,0.2304,0.1915,0.1709
9,3.9085,0.1,6.1303,3.7437,10764918784.0,0.0,135168.0,1124251316.0,78.2974,144.822,46.6393,51.0,12.918,99.0,5833424896.0,5833424896.0,5833424896.0,0.2016,0.2404,0.2016,0.1777
10,3.8567,0.1,5.9398,3.9562,10764902400.0,0.0,135168.0,1124251316.0,77.0718,144.296,45.1186,50.0,12.2203,99.0,5833424896.0,5833424896.0,5833424896.0,0.2213,0.26,0.2213,0.1989
11,3.8065,0.1,6.0506,3.8813,10764976128.0,0.0,135168.0,1124251316.0,75.5385,142.696,44.5833,47.0,11.6333,94.0,5833424896.0,5833424896.0,5833424896.0,0.2386,0.2766,0.2386,0.2119
12,3.758,0.1,6.1455,3.7812,10765049856.0,0.0,135168.0,1124251316.0,73.6598,122.836,44.0656,48.0,11.541,99.0,5833424896.0,5833424896.0,5833424896.0,0.2731,0.3008,0.2731,0.2475
13,3.7308,0.1,6.0319,3.8312,10765066240.0,0.0,135168.0,1124251316.0,73.2357,133.223,43.9667,48.0,11.4,99.0,5833424896.0,5833424896.0,5833424896.0,0.2659,0.3065,0.2659,0.246
14,3.6982,0.1,6.0383,3.9125,10765176832.0,0.0,135168.0,1124251316.0,75.2601,132.475,43.75,49.0,12.0333,99.0,5833424896.0,5833424896.0,5833424896.0,0.2793,0.3065,0.2793,0.2554
15,3.6709,0.1,5.9416,3.925,10765221888.0,0.0,135168.0,1124251316.0,74.1159,133.038,43.678,48.0,11.9322,98.0,5833424896.0,5833424896.0,5833424896.0,0.2472,0.3024,0.2472,0.2297
16,3.6441,0.1,6.1334,3.7875,10765221888.0,0.0,196608.0,1124251316.0,74.9597,140.365,46.9836,52.0,11.6721,99.0,5833424896.0,5833424896.0,5833424896.0,0.2812,0.32,0.2812,0.271
17,3.6177,0.1,6.0308,3.8312,10765266944.0,0.0,135168.0,1124251316.0,75.7159,134.668,45.4833,48.0,13.4167,99.0,5833424896.0,5833424896.0,5833424896.0,0.2636,0.3371,0.2636,0.2483
18,3.5987,0.1,6.0466,3.8937,10765369344.0,0.0,217088.0,1124251316.0,73.05,127.368,44.6833,49.0,11.7333,99.0,5833424896.0,5833424896.0,5833424896.0,0.2703,0.3413,0.2703,0.2594
19,3.5849,0.1,6.1517,3.7875,10765488128.0,0.0,90112.0,1124251316.0,77.6725,133.977,44.623,49.0,13.082,98.0,5833424896.0,5833424896.0,5833424896.0,0.273,0.3443,0.273,0.2669
20,3.5681,0.1,5.9656,3.95,10765574144.0,0.0,151552.0,1124251316.0,74.8071,133.622,44.4407,48.0,10.6949,98.0,5833424896.0,5833424896.0,5833424896.0,0.2939,0.3404,0.2939,0.2716
21,3.5434,0.1,6.0464,3.9375,10780315648.0,0.0,151552.0,1124251316.0,73.715,133.941,43.8667,48.0,10.3,98.0,5833424896.0,5833424896.0,5833424896.0,0.2952,0.3553,0.2952,0.2763
22,3.5346,0.1,6.1347,3.8312,10786648064.0,0.0,151552.0,1124251316.0,75.352,141.292,43.7541,48.0,11.541,99.0,5833424896.0,5833424896.0,5833424896.0,0.2889,0.3329,0.2889,0.2692
23,3.5108,0.1,6.0386,3.8687,10805063680.0,0.0,135168.0,1124251316.0,72.4403,122.598,43.7833,49.0,13.2667,99.0,5833424896.0,5833424896.0,5833424896.0,0.2746,0.3611,0.2746,0.2601
24,3.4985,0.1,6.0705,3.9125,10805211136.0,0.0,135168.0,1124251316.0,72.7176,133.17,43.75,48.0,12.9667,99.0,5833424896.0,5833424896.0,5833424896.0,0.2825,0.341,0.2825,0.2621
25,3.4804,0.1,6.1562,3.7437,10805202944.0,0.0,135168.0,1124251316.0,74.5161,146.123,46.5902,51.0,11.541,99.0,5833424896.0,5833424896.0,5833424896.0,0.309,0.3764,0.309,0.2947
26,3.472,0.1,5.9634,4.0438,10805223424.0,0.0,151552.0,1124251316.0,74.0957,132.976,45.0339,49.0,11.8983,98.0,5833424896.0,5833424896.0,5833424896.0,0.2757,0.3469,0.2757,0.2576
27,3.4604,0.1,6.1468,3.7938,10805239808.0,0.0,151552.0,1124251316.0,74.3942,144.635,44.5902,47.0,11.377,99.0,5833424896.0,5833424896.0,5833424896.0,0.3373,0.3807,0.3373,0.3223
