epoch,train_loss,lr,elapsed_time_seconds,cpu_usage_percent,ram_peak_bytes,disk_read_bytes,disk_write_bytes,vram_peak_bytes,gpu_power_watts_avg,gpu_power_watts_peak,gpu_temp_celsius_avg,gpu_temp_celsius_peak,gpu_util_percent_avg,gpu_util_percent_peak,gpu_mem_used_bytes_avg,gpu_mem_used_bytes_peak,gpu_vram_used_bytes,val_accuracy,val_precision,val_recall,val_f1
1,5.2429,0.1,6.4416,3.8625,1124251316.0,0.0,3792896.0,,73.1776,128.138,46.2188,51.0,10.3594,98.0,5464326144.0,5464326144.0,5464326144.0,0.028,0.0172,0.028,0.01
2,4.9001,0.1,6.2839,3.9875,1124251316.0,0.0,163840.0,,74.4951,143.21,44.7742,48.0,11.1613,98.0,5464326144.0,5464326144.0,5464326144.0,0.0521,0.0425,0.0521,0.0312
3,4.6639,0.1,6.0558,3.9,1124251316.0,0.0,151552.0,,72.1906,132.13,44.45,48.0,10.5833,99.0,5833424896.0,5833424896.0,5833424896.0,0.0893,0.0859,0.0893,0.0612
4,4.4565,0.1,5.9461,3.9813,1124251316.0,0.0,135168.0,,73.2004,139.026,44.2712,48.0,11.1186,99.0,5833424896.0,5833424896.0,5833424896.0,0.1225,0.129,0.1225,0.0953
5,4.287,0.1,6.0327,3.9188,1124251316.0,0.0,135168.0,,75.7052,162.131,44.2333,49.0,11.3,99.0,5833424896.0,5833424896.0,5833424896.0,0.1417,0.1355,0.1417,0.1071
6,4.1758,0.1,5.9551,3.925,1124251316.0,0.0,135168.0,,76.6267,152.092,44.1864,48.0,11.5593,98.0,5833424896.0,5833424896.0,5833424896.0,0.1723,0.2002,0.1723,0.1448
7,4.081,0.1,5.8511,4.0375,1124251316.0,0.0,135168.0,,75.8226,153.687,44.3276,49.0,9.6552,98.0,5833424896.0,5833424896.0,5833424896.0,0.1967,0.2053,0.1967,0.168
8,3.9954,0.1,5.9364,4.0,1124251316.0,0.0,135168.0,,74.5768,142.796,44.5085,49.0,10.5932,99.0,5833424896.0,5833424896.0,5833424896.0,0.1895,0.2232,0.1895,0.1625
9,3.9235,0.1,5.9413,3.9562,1124251316.0,0.0,159744.0,,74.2677,142.439,44.4915,48.0,9.661,98.0,5833424896.0,5833424896.0,5833424896.0,0.2226,0.2379,0.2226,0.197
10,3.8727,0.1,5.9376,3.95,1124251316.0,0.0,135168.0,,74.5837,142.495,44.4237,49.0,10.9661,99.0,5833424896.0,5833424896.0,5833424896.0,0.1955,0.2524,0.1955,0.1726
11,3.822,0.1,5.9573,3.9875,1124251316.0,0.0,135168.0,,75.3071,143.872,44.6102,49.0,8.8136,99.0,5833424896.0,5833424896.0,5833424896.0,0.2065,0.254,0.2065,0.1874
12,3.7734,0.1,6.0386,3.8813,1124251316.0,0.0,135168.0,,74.5927,133.39,44.6667,48.0,10.2333,99.0,5833424896.0,5833424896.0,5833424896.0,0.2583,0.2811,0.2583,0.2303
13,3.7368,0.1,5.954,3.9688,1124251316.0,0.0,135168.0,,74.7247,152.47,44.5932,48.0,10.1864,98.0,5833424896.0,5833424896.0,5833424896.0,0.2465,0.2895,0.2465,0.2217
14,3.7044,0.1,5.9608,3.9937,1124251316.0,0.0,139264.0,,73.9807,152.927,44.5085,48.0,10.678,98.0,5833424896.0,5833424896.0,5833424896.0,0.2778,0.3111,0.2778,0.261
15,3.6689,0.1,5.8392,4.0687,1124251316.0,0.0,274432.0,,74.8361,153.414,44.6207,48.0,10.431,98.0,5833424896.0,5833424896.0,5833424896.0,0.2416,0.322,0.2416,0.2375
16,3.6443,0.1,5.9573,3.975,1124251316.0,0.0,135168.0,,74.1592,142.243,44.6102,47.0,9.9831,99.0,5833424896.0,5833424896.0,5833424896.0,0.2676,0.317,0.2676,0.2533
17,3.6173,0.1,5.939,3.9875,1124251316.0,0.0,135168.0,,75.3412,151.447,44.5254,47.0,10.8475,99.0,5833424896.0,5833424896.0,5833424896.0,0.2475,0.33,0.2475,0.2337
18,3.5924,0.1,5.8714,4.0687,1124251316.0,0.0,106496.0,,74.6992,135.186,44.6034,48.0,12.3276,99.0,5833424896.0,5833424896.0,5833424896.0,0.2989,0.3277,0.2989,0.2763
19,3.5796,0.1,5.936,3.9688,1124251316.0,0.0,163840.0,,73.483,143.847,44.5593,49.0,9.1695,98.0,5833424896.0,5833424896.0,5833424896.0,0.2806,0.3545,0.2806,0.2713
20,3.5533,0.1,6.0373,3.8937,1124251316.0,0.0,233472.0,,74.1689,142.417,44.6333,49.0,10.6333,99.0,5833424896.0,5833424896.0,5833424896.0,0.2902,0.348,0.2902,0.2754
21,3.5419,0.1,5.9372,3.9875,1124251316.0,0.0,163840.0,,76.2495,153.922,44.5593,48.0,11.7627,99.0,5833424896.0,5833424896.0,5833424896.0,0.2789,0.3435,0.2789,0.26
22,3.5123,0.1,6.0408,3.9,1124251316.0,0.0,172032.0,,75.0981,152.282,44.55,49.0,9.7,98.0,5833424896.0,5833424896.0,5833424896.0,0.3077,0.362,0.3077,0.2975
23,3.5031,0.1,5.9395,4.0,1124251316.0,0.0,86016.0,,73.4682,142.056,44.5254,48.0,10.9831,99.0,5833424896.0,5833424896.0,5833424896.0,0.2761,0.3662,0.2761,0.26
24,3.4876,0.1,6.0378,3.8813,1124251316.0,0.0,151552.0,,73.5525,137.524,44.2333,48.0,11.2333,99.0,5833424896.0,5833424896.0,5833424896.0,0.2998,0.3559,0.2998,0.2837
25,3.475,0.1,5.8365,4.0875,1124251316.0,0.0,151552.0,,75.0595,152.382,44.2586,48.0,9.6724,98.0,5833424896.0,5833424896.0,5833424896.0,0.2848,0.3837,0.2848,0.279
26,3.454,0.1,5.9573,3.975,1124251316.0,0.0,151552.0,,73.6712,137.02,44.2542,48.0,10.7288,99.0,5833424896.0,5833424896.0,5833424896.0,0.2482,0.3514,0.2482,0.2333
27,3.4445,0.1,5.939,3.9438,1124251316.0,0.0,151552.0,,74.4348,149.214,44.1186,49.0,10.4407,98.0,5833424896.0,5833424896.0,5833424896.0,0.3052,0.3872,0.3052,0.2911
28,3.437,0.1,6.1396,3.8375,1124251316.0,0.0,135168.0,,77.8989,153.016,44.4098,48.0,12.3934,98.0,5833424896.0,5833424896.0,5833424896.0,0.2795,0.3587,0.2795,0.2687
29,3.4262,0.1,5.8715,4.0875,1124251316.0,0.0,135168.0,,73.8893,142.862,44.2414,48.0,9.7586,99.0,5833424896.0,5833424896.0,5833424896.0,0.3124,0.3812,0.3124,0.2996
30,3.4171,0.01,5.9358,4.0,1124251316.0,0.0,73728.0,,77.2728,153.155,44.661,49.0,11.1864,98.0,5833424896.0,5833424896.0,5833424896.0,0.2681,0.3545,0.2681,0.2606
31,3.2001,0.01,5.972,3.9562,1124251316.0,0.0,135168.0,,75.4995,162.322,44.5763,49.0,10.9153,99.0,5833424896.0,5833424896.0,5833424896.0,0.4448,0.4367,0.4448,0.431
32,3.125,0.01,5.939,4.0,1124251316.0,0.0,135168.0,,79.1247,163.996,44.7627,48.0,11.1695,99.0,5833424896.0,5833424896.0,5833424896.0,0.4446,0.4372,0.4446,0.4303
33,3.1025,0.01,5.9398,3.9562,1124251316.0,0.0,135168.0,,76.4556,153.805,44.678,49.0,9.9661,99.0,5833424896.0,5833424896.0,5833424896.0,0.4483,0.4416,0.4483,0.4369
34,3.0871,0.01,5.9557,3.9562,1124251316.0,0.0,135168.0,,78.8977,143.108,44.678,48.0,11.2542,98.0,5833424896.0,5833424896.0,5833424896.0,0.4538,0.4505,0.4538,0.4411
35,3.0712,0.01,6.0386,3.8937,1124251316.0,0.0,81920.0,,77.2033,133.449,44.6333,48.0,10.7333,98.0,5833424896.0,5833424896.0,5833424896.0,0.4541,0.4513,0.4541,0.4421
36,3.0632,0.01,6.0356,3.9062,1124251316.0,0.0,86016.0,,76.4857,142.696,44.4667,48.0,11.5167,99.0,5833424896.0,5833424896.0,5833424896.0,0.4545,0.4526,0.4545,0.4426
37,3.0531,0.01,5.9559,4.1,1124251316.0,0.0,151552.0,,73.4614,143.953,44.3559,47.0,11.0847,99.0,5833424896.0,5833424896.0,5833424896.0,0.4573,0.4599,0.4573,0.4476
38,3.047,0.01,5.8563,4.0687,1124251316.0,0.0,151552.0,,78.782,142.557,44.6034,48.0,10.6897,98.0,5833424896.0,5833424896.0,5833424896.0,0.4554,0.4545,0.4554,0.4457
39,3.0369,0.01,5.958,3.9937,1124251316.0,0.0,151552.0,,77.8313,172.349,44.5424,49.0,9.9492,98.0,5833424896.0,5833424896.0,5833424896.0,0.4584,0.4561,0.4584,0.4475
40,3.0278,0.01,5.8544,4.1125,1124251316.0,0.0,135168.0,,79.0434,173.395,44.3621,48.0,10.5172,98.0,5833424896.0,5833424896.0,5833424896.0,0.4624,0.4608,0.4624,0.452
41,3.0235,0.01,6.0393,3.9,1124251316.0,0.0,135168.0,,76.0544,133.065,44.6333,48.0,10.6667,98.0,5833424896.0,5833424896.0,5833424896.0,0.4695,0.4721,0.4695,0.4606
42,3.0144,0.01,5.9379,4.0438,1124251316.0,0.0,229376.0,,77.6465,143.469,44.4237,48.0,12.6102,99.0,5833424896.0,5833424896.0,5833424896.0,0.4654,0.4656,0.4654,0.4555
43,3.0102,0.01,5.8462,4.0812,1124251316.0,0.0,135168.0,,74.9735,152.6,44.4655,47.0,9.8621,99.0,5833424896.0,5833424896.0,5833424896.0,0.4662,0.4658,0.4662,0.4561
44,3.0019,0.01,5.7594,4.1875,1124251316.0,0.0,135168.0,,74.6052,163.077,44.3333,47.0,10.5439,98.0,5833424896.0,5833424896.0,5833424896.0,0.4715,0.4735,0.4715,0.4609
45,2.9959,0.01,5.9353,3.9562,1124251316.0,0.0,135168.0,,72.6349,132.328,44.6441,48.0,10.7119,98.0,5833424896.0,5833424896.0,5833424896.0,0.4652,0.4689,0.4652,0.4581
