epoch,train_loss,lr,epoch_ts,training_time_seconds,inference_time_seconds,elapsed_time_seconds,cpu_usage_percent,ram_peak_bytes,disk_read_bytes,disk_write_bytes,vram_peak_bytes,gpu_power_watts_avg,gpu_power_watts_peak,gpu_temp_celsius_avg,gpu_temp_celsius_peak,gpu_util_percent_avg,gpu_util_percent_peak,gpu_mem_used_bytes_avg,gpu_mem_used_bytes_peak,gpu_vram_used_bytes,val_accuracy,val_precision,val_recall,val_f1
1,5.1822,0.1,2025-11-26 14:14:06.369,26.566,3.001,2.9629,2.6781,1124251316.0,0.0,43864064.0,,100.6774,194.398,47.8276,53.0,14.1379,65.0,5462228992.0,5462228992.0,5462228992.0,0.0332,0.0271,0.0332,0.0154
2,4.8181,0.1,2025-11-26 14:14:32.079,22.71,2.904,2.8687,2.6562,1124251316.0,0.0,0.0,,106.0737,203.957,47.75,52.0,11.6071,99.0,5462228992.0,5462228992.0,5462228992.0,0.045,0.0466,0.045,0.0288
3,4.5806,0.1,2025-11-26 14:15:06.061,31.078,4.223,4.1851,2.8062,1124251316.0,0.0,8192.0,,92.1005,135.68,46.439,50.0,11.2195,76.0,5831327744.0,5831327744.0,5831327744.0,0.0948,0.0879,0.0948,0.0671
4,4.4043,0.1,2025-11-26 14:15:40.823,30.538,4.227,4.1892,2.7906,1124251316.0,0.0,0.0,,98.7148,145.482,46.2439,49.0,10.3415,64.0,5831327744.0,5831327744.0,5831327744.0,0.1379,0.1526,0.1379,0.1135
5,4.2572,0.1,2025-11-26 14:16:09.463,24.414,2.989,2.9513,2.7,1124251316.0,0.0,0.0,,105.3808,197.818,46.6552,49.0,14.2069,99.0,5831327744.0,5831327744.0,5831327744.0,0.1375,0.1595,0.1375,0.1161
6,4.1427,0.1,2025-11-26 14:16:34.749,22.297,4.123,4.0859,2.8156,1124251316.0,0.0,0.0,,99.8351,189.182,46.5,49.0,10.625,86.0,5835522048.0,5835522048.0,5835522048.0,0.1888,0.2044,0.1888,0.1604
7,4.0497,0.1,2025-11-26 14:17:03.539,24.667,2.812,2.7745,2.7125,1124251316.0,0.0,208896.0,,111.0417,213.489,47.0,51.0,14.3704,87.0,5835522048.0,5835522048.0,5835522048.0,0.2023,0.2128,0.2023,0.1771
8,3.9781,0.1,2025-11-26 14:17:33.632,27.28,2.808,2.7702,2.7406,1124251316.0,0.0,0.0,,108.547,191.135,46.9259,49.0,14.8889,68.0,5835522048.0,5835522048.0,5835522048.0,0.205,0.2316,0.205,0.1847
9,3.9091,0.1,2025-11-26 14:17:59.867,23.427,4.036,3.9989,2.8438,1124251316.0,0.0,0.0,,87.2741,171.082,46.7949,50.0,10.9487,45.0,5835522048.0,5835522048.0,5835522048.0,0.2401,0.2619,0.2401,0.2151
10,3.8502,0.1,2025-11-26 14:18:26.725,22.823,4.129,4.0916,2.825,1124251316.0,0.0,4096.0,,99.5418,194.233,47.125,51.0,11.325,64.0,5835522048.0,5835522048.0,5835522048.0,0.2175,0.262,0.2175,0.1976
11,3.7954,0.1,2025-11-26 14:18:54.284,23.429,2.904,2.8672,2.6031,1124251316.0,0.0,0.0,,92.9103,126.85,47.25,50.0,13.6429,94.0,5835522048.0,5835522048.0,5835522048.0,0.2097,0.2719,0.2097,0.1885
12,3.7666,0.1,2025-11-26 14:19:24.708,27.516,3.997,3.9719,2.7687,1124251316.0,0.0,0.0,,101.9128,174.511,46.6923,50.0,12.6154,74.0,5835522048.0,5835522048.0,5835522048.0,0.2519,0.2764,0.2519,0.2264
13,3.7248,0.1,2025-11-26 14:19:51.571,22.87,4.221,4.1837,2.8156,1124251316.0,0.0,0.0,,102.5714,194.419,47.0244,50.0,10.8537,61.0,5837619200.0,5837619200.0,5837619200.0,0.2688,0.3135,0.2688,0.2564
14,3.6896,0.1,2025-11-26 14:20:24.333,28.542,4.019,3.9833,2.8469,1124251316.0,0.0,0.0,,91.425,145.81,46.3333,50.0,10.5385,43.0,5837619200.0,5837619200.0,5837619200.0,0.2534,0.304,0.2534,0.2349
15,3.6558,0.1,2025-11-26 14:20:50.624,22.272,2.908,2.8703,2.6219,1124251316.0,0.0,0.0,,102.2509,159.162,47.0357,50.0,17.0357,87.0,5837619200.0,5837619200.0,5837619200.0,0.2459,0.3189,0.2459,0.2278
16,3.634,0.1,2025-11-26 14:21:23.960,30.427,2.828,2.7895,2.6875,1124251316.0,0.0,0.0,,102.9405,136.31,46.963,50.0,16.6667,85.0,5837619200.0,5837619200.0,5837619200.0,0.2448,0.3005,0.2448,0.2306
17,3.6075,0.1,2025-11-26 14:21:55.098,28.31,2.811,2.7728,2.7156,1124251316.0,0.0,0.0,,107.0791,193.684,47.1852,50.0,16.5185,68.0,5837619200.0,5837619200.0,5837619200.0,0.2847,0.3364,0.2847,0.2669
18,3.5784,0.1,2025-11-26 14:22:20.624,22.715,2.81,2.7721,2.6812,1124251316.0,0.0,0.0,,110.013,215.625,47.5926,51.0,14.4444,74.0,5837619200.0,5837619200.0,5837619200.0,0.2727,0.3654,0.2727,0.2653
19,3.5659,0.1,2025-11-26 14:22:47.064,23.631,2.813,2.776,2.725,1124251316.0,0.0,0.0,,105.8581,193.782,47.4444,52.0,16.8148,68.0,5837619200.0,5837619200.0,5837619200.0,0.2778,0.3237,0.2778,0.2549
20,3.5482,0.1,2025-11-26 14:23:18.055,28.173,2.703,2.6773,2.65,1124251316.0,0.0,0.0,,102.9175,139.495,47.3077,51.0,15.5385,58.0,5837619200.0,5837619200.0,5837619200.0,0.2667,0.3373,0.2667,0.2506
21,3.5282,0.1,2025-11-26 14:23:44.307,23.553,4.123,4.0846,2.8156,1124251316.0,0.0,0.0,,89.1428,122.66,47.175,50.0,10.95,68.0,5837619200.0,5837619200.0,5837619200.0,0.2728,0.3395,0.2728,0.2581
22,3.5135,0.1,2025-11-26 14:24:18.815,30.386,2.9,2.8626,2.6094,1124251316.0,0.0,0.0,,99.5769,136.14,47.1429,52.0,15.4286,86.0,5837619200.0,5837619200.0,5837619200.0,0.281,0.3563,0.281,0.267
23,3.5023,0.1,2025-11-26 14:24:46.584,24.868,2.852,2.8142,2.7188,1124251316.0,0.0,0.0,,108.897,204.885,47.5185,51.0,14.1481,99.0,5837619200.0,5837619200.0,5837619200.0,0.2928,0.3423,0.2928,0.2721
24,3.4826,0.1,2025-11-26 14:25:14.244,24.804,4.001,3.9634,2.8062,1124251316.0,0.0,0.0,,102.2459,217.193,47.2564,50.0,12.8718,96.0,5837619200.0,5837619200.0,5837619200.0,0.2951,0.3633,0.2951,0.2856
25,3.4687,0.1,2025-11-26 14:26:29.502,71.262,4.068,4.0428,2.8125,1124251316.0,0.0,0.0,,41.13,93.889,43.5,48.0,8.925,99.0,5837619200.0,5837619200.0,5837619200.0,0.2752,0.3557,0.2752,0.2572
26,3.4587,0.1,2025-11-26 14:27:02.811,29.241,2.812,2.7746,2.7125,1124251316.0,0.0,16384.0,,103.9756,183.973,47.1111,52.0,13.2593,80.0,5837619200.0,5837619200.0,5837619200.0,0.3165,0.3589,0.3165,0.2944
27,3.4426,0.1,2025-11-26 14:27:29.305,23.682,2.813,2.7752,2.6781,1124251316.0,0.0,0.0,,110.0769,207.973,47.5926,52.0,15.8148,96.0,5837619200.0,5837619200.0,5837619200.0,0.3103,0.3704,0.3103,0.2978
28,3.4388,0.1,2025-11-26 14:27:55.256,23.137,2.992,2.9537,2.5375,1124251316.0,0.0,0.0,,109.059,184.411,47.6552,51.0,16.3103,89.0,5837619200.0,5837619200.0,5837619200.0,0.3001,0.3781,0.3001,0.2943
29,3.4254,0.1,2025-11-26 14:28:21.080,22.832,2.804,2.767,2.6656,1124251316.0,0.0,0.0,,101.9366,162.17,47.6667,53.0,17.1111,86.0,5837619200.0,5837619200.0,5837619200.0,0.2967,0.3798,0.2967,0.2842
30,3.4233,0.01,2025-11-26 14:28:47.609,23.725,2.914,2.8767,2.5969,1124251316.0,0.0,0.0,,104.2429,182.611,47.7143,50.0,17.5357,83.0,5837619200.0,5837619200.0,5837619200.0,0.3132,0.3949,0.3132,0.3011
31,3.2127,0.01,2025-11-26 14:29:17.502,26.979,4.11,4.0728,2.8,1124251316.0,0.0,0.0,,100.4897,197.545,47.25,51.0,10.55,57.0,5837619200.0,5837619200.0,5837619200.0,0.4383,0.4333,0.4383,0.4256
32,3.1321,0.01,2025-11-26 14:29:43.940,22.328,2.913,2.876,2.6187,1124251316.0,0.0,0.0,,100.823,165.675,47.6429,51.0,14.6429,99.0,5837619200.0,5837619200.0,5837619200.0,0.4455,0.4376,0.4455,0.4329
33,3.1083,0.01,2025-11-26 14:30:08.575,21.722,2.912,2.8749,2.6094,1124251316.0,0.0,0.0,,105.7707,200.268,48.1786,53.0,13.1071,99.0,5839716352.0,5839716352.0,5839716352.0,0.4447,0.4416,0.4447,0.4334
34,3.0876,0.01,2025-11-26 14:30:34.857,23.37,4.025,3.988,2.8438,1124251316.0,0.0,0.0,,99.0394,202.92,47.8205,51.0,12.9231,98.0,5839716352.0,5839716352.0,5839716352.0,0.4567,0.453,0.4567,0.4454
35,3.0806,0.01,2025-11-26 14:31:01.862,22.98,2.81,2.7717,2.75,1124251316.0,0.0,655360.0,,109.8242,220.124,48.3704,52.0,10.8889,86.0,5839716352.0,5839716352.0,5839716352.0,0.4484,0.4456,0.4484,0.4361
36,3.0665,0.01,2025-11-26 14:31:28.816,24.144,3.211,3.1739,2.3531,1124251316.0,0.0,0.0,,108.39,216.559,48.3548,53.0,17.129,89.0,5839716352.0,5839716352.0,5839716352.0,0.4551,0.4496,0.4551,0.4417
37,3.0568,0.01,2025-11-26 14:32:25.530,53.504,2.917,2.8797,2.6375,1124251316.0,0.0,0.0,,31.4398,107.573,43.9643,49.0,10.9643,99.0,5839716352.0,5839716352.0,5839716352.0,0.459,0.4563,0.459,0.4479
38,3.0498,0.01,2025-11-26 14:32:59.274,30.826,4.124,4.0858,2.8375,1124251316.0,0.0,20480.0,,95.068,145.789,45.475,49.0,11.325,81.0,5839716352.0,5839716352.0,5839716352.0,0.4592,0.4541,0.4592,0.4479
39,3.0428,0.01,2025-11-26 14:33:34.190,30.793,4.165,4.1279,2.8219,1124251316.0,0.0,0.0,,92.1359,133.202,45.525,49.0,12.05,92.0,5839716352.0,5839716352.0,5839716352.0,0.4637,0.4598,0.4637,0.4521
40,3.0327,0.01,2025-11-26 14:34:01.468,23.112,2.81,2.7724,2.7156,1124251316.0,0.0,0.0,,110.5713,211.404,46.4815,49.0,15.7037,67.0,5839716352.0,5839716352.0,5839716352.0,0.4563,0.448,0.4563,0.4433
41,3.0237,0.01,2025-11-26 14:34:27.383,23.101,2.796,2.7589,2.6375,1124251316.0,0.0,0.0,,108.7445,194.029,46.5185,48.0,18.3333,84.0,5839716352.0,5839716352.0,5839716352.0,0.4652,0.4654,0.4652,0.4555
42,3.0223,0.01,2025-11-26 14:34:53.498,23.319,3.906,3.8686,2.85,1124251316.0,0.0,0.0,,102.9884,213.557,46.7105,49.0,12.8684,95.0,5839716352.0,5839716352.0,5839716352.0,0.4642,0.4588,0.4642,0.4525
43,3.0106,0.01,2025-11-26 14:35:21.590,24.19,2.886,2.849,2.7094,1124251316.0,0.0,0.0,,108.5748,206.666,47.1071,51.0,13.5714,91.0,5839716352.0,5839716352.0,5839716352.0,0.4647,0.465,0.4647,0.4529
44,3.0052,0.01,2025-11-26 14:35:48.087,23.612,3.111,3.074,2.7437,1124251316.0,0.0,0.0,,106.0757,206.329,46.9,49.0,13.9667,97.0,5839716352.0,5839716352.0,5839716352.0,0.4709,0.4651,0.4709,0.459
45,3.0059,0.01,2025-11-26 14:36:18.259,27.056,2.706,2.6688,2.6938,1124251316.0,0.0,0.0,,112.4191,223.703,47.3077,50.0,15.2692,64.0,5839716352.0,5839716352.0,5839716352.0,0.4607,0.4637,0.4607,0.4517
46,3.0036,0.01,2025-11-26 14:36:44.536,23.575,4.016,3.9797,2.8594,1124251316.0,0.0,0.0,,98.4152,223.236,47.0,50.0,12.2051,97.0,5839716352.0,5839716352.0,5839716352.0,0.4678,0.4665,0.4678,0.4583
47,2.9973,0.01,2025-11-26 14:37:18.529,29.973,2.81,2.7729,2.5594,1124251316.0,0.0,0.0,,108.9975,203.64,47.037,52.0,17.5556,97.0,5839716352.0,5839716352.0,5839716352.0,0.4652,0.4701,0.4652,0.4575
48,2.9895,0.01,2025-11-26 14:37:52.207,30.873,2.912,2.8753,2.6187,1124251316.0,0.0,0.0,,99.3265,155.376,46.7143,51.0,15.0714,73.0,5839716352.0,5839716352.0,5839716352.0,0.4758,0.4773,0.4758,0.4666
49,2.985,0.01,2025-11-26 14:38:25.590,30.471,2.806,2.7688,2.6625,1124251316.0,0.0,0.0,,101.3872,155.303,46.8889,51.0,16.2222,82.0,5839716352.0,5839716352.0,5839716352.0,0.4728,0.4729,0.4728,0.4629
50,2.9792,0.01,2025-11-26 14:38:51.182,22.785,2.91,2.8739,2.5656,1124251316.0,0.0,0.0,,105.7081,204.464,47.2857,51.0,14.1071,99.0,5841813504.0,5841813504.0,5841813504.0,0.4723,0.4735,0.4723,0.4613
51,2.9804,0.01,2025-11-26 14:39:21.536,27.44,4.002,3.9643,2.7594,1124251316.0,0.0,0.0,,101.7487,206.621,46.9744,49.0,11.8974,57.0,5841813504.0,5841813504.0,5841813504.0,0.4649,0.4771,0.4649,0.4597
52,2.9764,0.01,2025-11-26 14:39:49.557,24.024,4.123,4.0868,2.8219,1124251316.0,0.0,0.0,,102.0854,205.979,47.1,52.0,11.275,57.0,5841813504.0,5841813504.0,5841813504.0,0.4698,0.4694,0.4698,0.4578
53,2.9755,0.01,2025-11-26 14:40:20.373,26.688,2.781,2.744,2.6313,1124251316.0,0.0,487424.0,,110.2248,210.953,47.4815,50.0,19.4074,65.0,5841813504.0,5841813504.0,5841813504.0,0.4695,0.4728,0.4695,0.4603
54,2.966,0.01,2025-11-26 14:40:53.538,30.389,4.12,4.0819,2.7625,1124251316.0,0.0,442368.0,,90.2409,145.512,46.65,50.0,12.45,71.0,5841813504.0,5841813504.0,5841813504.0,0.4704,0.478,0.4704,0.4639
55,2.9698,0.01,2025-11-26 14:41:24.074,26.415,2.918,2.8796,2.625,1124251316.0,0.0,0.0,,104.4656,179.414,47.0357,50.0,14.1429,98.0,5841813504.0,5841813504.0,5841813504.0,0.4742,0.4786,0.4742,0.463
56,2.9632,0.01,2025-11-26 14:41:57.737,30.745,2.801,2.7748,2.6688,1124251316.0,0.0,286720.0,,104.2437,145.66,46.6667,49.0,18.0741,52.0,5841813504.0,5841813504.0,5841813504.0,0.4712,0.4774,0.4712,0.4618
57,2.9608,0.01,2025-11-26 14:42:23.458,22.921,4.04,4.0034,2.85,1124251316.0,0.0,0.0,,93.3446,155.744,46.7179,50.0,8.0,80.0,5841813504.0,5841813504.0,5841813504.0,0.4676,0.4673,0.4676,0.455
58,2.959,0.01,2025-11-26 14:42:55.430,27.931,2.818,2.7801,2.7188,1124251316.0,0.0,319488.0,,106.3182,215.771,47.037,50.0,14.2593,88.0,5841813504.0,5841813504.0,5841813504.0,0.4741,0.4752,0.4741,0.4643
59,2.9535,0.01,2025-11-26 14:43:23.615,25.363,2.8,2.7633,2.6469,1124251316.0,0.0,0.0,,114.9046,227.489,47.7407,51.0,17.7778,99.0,5841813504.0,5841813504.0,5841813504.0,0.4745,0.474,0.4745,0.4655
60,2.951,0.001,2025-11-26 14:43:56.189,29.777,3.81,3.7843,2.8062,1124251316.0,200749056.0,29855744.0,,99.1834,151.538,46.8919,50.0,11.9189,83.0,5841813504.0,5841813504.0,5841813504.0,0.4649,0.4679,0.4649,0.4546
61,2.8867,0.001,2025-11-26 14:44:30.658,30.661,4.124,4.0865,2.7844,1124251316.0,0.0,0.0,,96.0178,164.739,46.675,50.0,11.075,98.0,5841813504.0,5841813504.0,5841813504.0,0.4959,0.4884,0.4959,0.4867
62,2.8668,0.001,2025-11-26 14:44:58.749,23.967,2.826,2.7887,2.6875,1124251316.0,0.0,77824.0,,108.934,203.733,47.6296,51.0,15.8519,87.0,5841813504.0,5841813504.0,5841813504.0,0.4979,0.4889,0.4979,0.4884
63,2.8626,0.001,2025-11-26 14:45:31.897,30.321,2.811,2.7738,2.725,1124251316.0,0.0,0.0,,97.6136,154.867,46.963,51.0,13.1481,79.0,5841813504.0,5841813504.0,5841813504.0,0.4979,0.4911,0.4979,0.4899
64,2.8582,0.001,2025-11-26 14:46:05.460,30.753,4.127,4.0892,2.8031,1124251316.0,0.0,0.0,,91.4838,141.726,46.575,50.0,11.4,81.0,5841813504.0,5841813504.0,5841813504.0,0.497,0.4898,0.497,0.4872
