model_name,seed,config_path,train_data_path,val_data_path,model_params,train_params,inference_params,scheduler_params,lr_base
squeezenet,42,configs/squeezenet_config.yaml,/scratch/ehdmenezes//tiny-imagenet-200/train,/scratch/ehdmenezes//tiny-imagenet-200/val,"{'num_classes': 200}","{'epochs': 100, 'batch_size': 1536, 'learning_rate': 0.1}","{'batch_size': 1536}","{'type': 'StepLR', 'step_size': 30, 'gamma': 0.1}",0.1
epoch,train_loss,lr,elapsed_time_seconds,cpu_usage_percent,ram_peak_bytes,disk_read_bytes,disk_write_bytes,vram_peak_bytes,gpu_power_watts_avg,gpu_power_watts_peak,gpu_temp_celsius_avg,gpu_temp_celsius_peak,gpu_util_percent_avg,gpu_util_percent_peak,gpu_mem_used_bytes_avg,gpu_mem_used_bytes_peak,gpu_vram_used_bytes,val_accuracy,val_precision,val_recall,val_f1
1,5.2959,0.1,7.4328,3.3125,18697908224.0,0.0,2703360.0,6429543804.0,74.8849,196.202,30.8784,39.0,11.7162,99.0,17373921280.0,17373921280.0,17373921280.0,0.0052,0.0002,0.0052,0.0003
2,5.2938,0.1,8.0586,3.0812,18701443072.0,0.0,106496.0,6429543804.0,81.4806,210.84,31.775,39.0,12.125,100.0,17743020032.0,17743020032.0,17743020032.0,0.005,0.0,0.005,0.0
3,5.2985,0.1,8.5382,2.8687,18701561856.0,0.0,8286208.0,6429543804.0,78.0347,204.816,31.9059,40.0,11.9294,100.0,17743020032.0,17743020032.0,17743020032.0,0.0058,0.0001,0.0058,0.0001
4,5.2915,0.1,8.0404,3.1,18701664256.0,0.0,331776.0,6429543804.0,84.1232,194.927,32.6,40.0,12.4625,100.0,19454296064.0,19454296064.0,19454296064.0,0.0095,0.0005,0.0095,0.0009
5,5.2439,0.1,8.4491,2.9312,18701754368.0,0.0,7159808.0,6429543804.0,79.3518,207.077,32.8095,40.0,12.2857,100.0,19454296064.0,19454296064.0,19454296064.0,0.009,0.0003,0.009,0.0005
6,5.2359,0.1,8.1759,3.025,18701828096.0,0.0,4165632.0,6429543804.0,82.2675,187.634,32.8395,40.0,12.0123,100.0,19454296064.0,19454296064.0,19454296064.0,0.0099,0.0004,0.0099,0.0007
7,5.2114,0.1,8.4545,2.9062,18701934592.0,0.0,8413184.0,6429543804.0,80.433,208.658,32.9167,41.0,12.5238,100.0,19454296064.0,19454296064.0,19454296064.0,0.0125,0.0011,0.0125,0.0015
8,5.1977,0.1,7.8437,3.1562,18702106624.0,0.0,1835008.0,6429543804.0,80.3144,198.643,32.9103,40.0,13.1538,100.0,19454296064.0,19454296064.0,19454296064.0,0.0149,0.0015,0.0149,0.0025
9,5.1726,0.1,8.045,3.0812,18703065088.0,0.0,9224192.0,6429543804.0,83.8042,189.267,33.3125,41.0,12.95,100.0,19454296064.0,19454296064.0,19454296064.0,0.0155,0.0022,0.0155,0.0028
10,5.1558,0.1,8.0386,3.0688,18703126528.0,0.0,1818624.0,6429543804.0,84.149,192.417,33.7375,41.0,12.525,100.0,19454296064.0,19454296064.0,19454296064.0,0.0165,0.0036,0.0165,0.0034
