epoch,train_loss,lr,elapsed_time_seconds,cpu_usage_percent,ram_peak_bytes,disk_read_bytes,disk_write_bytes,vram_peak_bytes,gpu_power_watts_avg,gpu_power_watts_peak,gpu_temp_celsius_avg,gpu_temp_celsius_peak,gpu_util_percent_avg,gpu_util_percent_peak,gpu_mem_used_bytes_avg,gpu_mem_used_bytes_peak,gpu_vram_used_bytes,val_accuracy,val_precision,val_recall,val_f1
1,5.2941,0.1,7.4436,3.3563,6429543804.0,0.0,8622080.0,,76.8704,171.051,31.1216,39.0,11.2973,97.0,16205807616.0,16205807616.0,16205807616.0,0.0057,0.0001,0.0057,0.0001
2,5.2623,0.1,8.1453,3.0438,6429543804.0,0.0,6545408.0,,84.498,188.031,31.9877,39.0,11.7778,100.0,19359924224.0,19359924224.0,19359924224.0,0.005,0.0,0.005,0.0
3,5.301,0.1,8.0428,3.0875,6429543804.0,0.0,7651328.0,,85.704,186.461,32.725,40.0,12.425,100.0,19393478656.0,19393478656.0,19393478656.0,0.0044,0.0,0.0044,0.0001
4,5.2984,0.1,8.071,3.0875,6429543804.0,0.0,9584640.0,,80.9106,211.07,32.8375,41.0,13.25,100.0,19393478656.0,19393478656.0,19393478656.0,0.005,0.0,0.005,0.0001
5,5.2924,0.1,8.3465,2.9625,6429543804.0,0.0,6873088.0,,83.522,186.153,33.0723,40.0,12.4578,100.0,19393478656.0,19393478656.0,19393478656.0,0.0046,0.0,0.0046,0.0001
6,5.285,0.1,7.9473,3.125,6429543804.0,0.0,2936832.0,,86.5459,185.52,33.3165,40.0,12.2911,100.0,19393478656.0,19393478656.0,19393478656.0,0.005,0.0,0.005,0.0
7,5.2999,0.1,8.2483,2.9937,6429543804.0,0.0,2236416.0,,81.3433,204.665,33.2805,41.0,12.2683,100.0,19393478656.0,19393478656.0,19393478656.0,0.005,0.0,0.005,0.0
8,5.2992,0.1,8.2744,2.9937,6429543804.0,0.0,262144.0,,80.3577,188.87,33.6463,41.0,11.1463,100.0,19393478656.0,19393478656.0,19393478656.0,0.005,0.0,0.005,0.0
9,5.2988,0.1,8.677,2.8813,6429543804.0,0.0,10694656.0,,79.0502,204.542,33.6628,41.0,12.1163,100.0,19393478656.0,19393478656.0,19393478656.0,0.005,0.0,0.005,0.0
10,5.2987,0.1,8.5492,2.8937,6429543804.0,0.0,253952.0,,79.7184,208.215,33.8,41.0,11.5176,100.0,19393478656.0,19393478656.0,19393478656.0,0.005,0.0,0.005,0.0
11,5.2986,0.1,7.9922,3.1187,6429543804.0,0.0,9224192.0,,83.8359,189.814,33.8608,41.0,12.1139,100.0,19393478656.0,19393478656.0,19393478656.0,0.005,0.0,0.005,0.0
12,5.2986,0.1,8.1481,3.1313,6429543804.0,0.0,9273344.0,,82.286,185.234,33.8148,41.0,12.0123,100.0,19393478656.0,19393478656.0,19393478656.0,0.005,0.0,0.005,0.0
13,5.2985,0.1,8.045,3.0938,6429543804.0,0.0,8794112.0,,79.0235,207.019,33.8375,41.0,11.675,100.0,19393478656.0,19393478656.0,19393478656.0,0.005,0.0,0.005,0.0
14,5.2986,0.1,8.3446,2.975,6429543804.0,0.0,274432.0,,81.8526,184.632,33.6867,40.0,11.5904,100.0,19393478656.0,19393478656.0,19393478656.0,0.005,0.0,0.005,0.0
15,5.2985,0.1,7.798,3.2188,6429543804.0,0.0,7761920.0,,83.2347,205.048,33.5065,41.0,12.961,100.0,19393478656.0,19393478656.0,19393478656.0,0.005,0.0,0.005,0.0
16,5.2985,0.1,7.9505,3.1187,6429543804.0,0.0,262144.0,,82.2354,189.069,33.6456,41.0,12.5823,100.0,19393478656.0,19393478656.0,19393478656.0,0.005,0.0,0.005,0.0
17,5.2985,0.1,8.4447,2.9375,6429543804.0,0.0,4481024.0,,80.4404,205.936,33.0238,40.0,12.3095,100.0,19393478656.0,19393478656.0,19393478656.0,0.005,0.0,0.005,0.0
18,5.2985,0.1,8.0484,3.1063,6429543804.0,0.0,278528.0,,82.0435,182.908,33.075,40.0,12.3875,100.0,19393478656.0,19393478656.0,19393478656.0,0.005,0.0,0.005,0.0
19,5.2985,0.1,8.4598,2.9375,6429543804.0,0.0,90112.0,,77.112,206.404,32.9048,40.0,11.4048,100.0,19393478656.0,19393478656.0,19393478656.0,0.005,0.0,0.005,0.0
20,5.2985,0.1,7.9467,3.1375,6429543804.0,0.0,5402624.0,,83.2317,188.294,33.0759,41.0,12.7848,100.0,19393478656.0,19393478656.0,19393478656.0,0.005,0.0,0.005,0.0
21,5.2985,0.1,8.3447,2.975,6429543804.0,0.0,6713344.0,,78.9091,206.032,32.9639,41.0,12.6024,100.0,19393478656.0,19393478656.0,19393478656.0,0.005,0.0,0.005,0.0
22,5.2985,0.1,8.1525,3.0562,6429543804.0,0.0,6049792.0,,83.7469,183.958,33.2593,40.0,12.4938,100.0,19393478656.0,19393478656.0,19393478656.0,0.005,0.0,0.005,0.0
23,5.2985,0.1,8.1446,3.0562,6429543804.0,0.0,7999488.0,,83.8214,183.906,33.7037,41.0,12.0741,100.0,19393478656.0,19393478656.0,19393478656.0,0.005,0.0,0.005,0.0
24,5.2985,0.1,8.2626,3.0312,6429543804.0,0.0,7180288.0,,79.5506,201.221,33.6341,41.0,12.8293,100.0,19393478656.0,19393478656.0,19393478656.0,0.005,0.0,0.005,0.0
25,5.2985,0.1,7.7648,3.2062,6429543804.0,0.0,6553600.0,,81.6514,199.911,33.6883,41.0,12.2857,100.0,19393478656.0,19393478656.0,19393478656.0,0.005,0.0,0.005,0.0
26,5.2985,0.1,8.2607,3.0125,6429543804.0,0.0,450560.0,,80.6652,183.62,33.7439,41.0,11.061,100.0,19393478656.0,19393478656.0,19393478656.0,0.005,0.0,0.005,0.0
27,5.2985,0.1,8.5498,2.9,6429543804.0,0.0,7860224.0,,78.7805,205.148,33.7765,41.0,12.1412,100.0,19393478656.0,19393478656.0,19393478656.0,0.005,0.0,0.005,0.0
28,5.2985,0.1,8.5628,2.9125,6429543804.0,0.0,6819840.0,,82.3012,183.837,33.7529,41.0,12.8706,100.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
29,5.2985,0.1,8.548,2.9188,6429543804.0,0.0,6393856.0,,76.7061,203.907,33.1647,41.0,11.6,100.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
30,5.2985,0.01,8.4475,2.925,6429543804.0,0.0,7225344.0,,78.6445,206.028,33.0357,41.0,11.5833,100.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
31,5.2984,0.01,7.9613,3.1375,6429543804.0,0.0,1851392.0,,80.355,198.045,33.1013,41.0,13.2405,100.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
32,5.2983,0.01,8.3459,2.9875,6429543804.0,0.0,7188480.0,,81.3969,188.563,33.0602,40.0,12.3614,100.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
33,5.2983,0.01,8.3443,2.975,6429543804.0,0.0,221184.0,,78.0159,205.949,33.0361,41.0,11.012,100.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
34,5.2983,0.01,7.8609,3.1938,6429543804.0,0.0,9457664.0,,85.6255,185.463,33.4615,41.0,12.7949,100.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
35,5.2984,0.01,8.3702,3.0,6429543804.0,0.0,11333632.0,,81.2351,187.011,33.6145,41.0,12.6506,100.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
36,5.2983,0.01,7.7618,3.1938,6429543804.0,0.0,12836864.0,,79.8941,187.051,33.7922,41.0,11.6104,100.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
37,5.2983,0.01,8.264,3.0125,6429543804.0,0.0,9777152.0,,81.5797,201.55,33.7073,41.0,12.1341,100.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
38,5.2984,0.01,7.8637,3.1938,6429543804.0,0.0,9289728.0,,83.4102,183.443,33.8718,41.0,11.9872,100.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
39,5.2984,0.01,8.38,2.9813,6429543804.0,0.0,4005888.0,,80.4057,199.012,33.7952,41.0,12.012,100.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
40,5.2984,0.01,8.2565,3.0063,6429543804.0,0.0,5779456.0,,84.9758,183.015,33.8659,40.0,12.0854,100.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
41,5.2983,0.01,8.5456,2.9188,6429543804.0,0.0,1024000.0,,78.326,208.874,33.8588,42.0,11.7647,100.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
42,5.2983,0.01,8.5889,2.9375,6429543804.0,0.0,6090752.0,,78.5069,206.31,33.7882,41.0,11.6,100.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
43,5.2982,0.01,7.9468,3.1437,6429543804.0,0.0,7548928.0,,85.3982,183.432,33.8861,41.0,12.3165,100.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
44,5.2983,0.01,8.6538,2.8813,6429543804.0,0.0,7282688.0,,76.5408,207.497,33.8023,41.0,11.3256,100.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
45,5.2983,0.01,8.1556,3.0938,6429543804.0,0.0,249856.0,,82.1626,167.624,33.7037,41.0,11.8519,100.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
46,5.2983,0.01,8.5446,2.9125,6429543804.0,0.0,6770688.0,,77.0852,206.548,33.6353,41.0,11.2471,100.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
47,5.2984,0.01,8.0641,3.125,6429543804.0,0.0,294912.0,,83.1932,183.327,33.5875,41.0,12.1625,100.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
48,5.2985,0.01,7.7618,3.2062,6429543804.0,0.0,7254016.0,,86.1421,190.964,33.5714,40.0,13.6104,99.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
49,5.2984,0.01,8.1645,3.0625,6429543804.0,0.0,8617984.0,,78.3959,203.046,33.0247,41.0,11.284,100.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
50,5.2983,0.01,7.9453,3.1313,6429543804.0,0.0,6762496.0,,83.5541,182.782,33.1519,41.0,12.0886,100.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
51,5.2985,0.01,8.5462,2.9,6429543804.0,0.0,114688.0,,78.045,208.526,32.9059,40.0,11.8706,100.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
52,5.2984,0.01,8.5451,2.8875,6429543804.0,0.0,233472.0,,78.444,205.414,32.8824,40.0,12.1412,100.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
53,5.2984,0.01,8.2478,3.0562,6429543804.0,0.0,1126400.0,,82.7872,168.981,33.2317,41.0,11.8415,100.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
54,5.2984,0.01,8.5501,2.9,6429543804.0,0.0,6664192.0,,77.8822,206.955,33.1059,41.0,11.6471,100.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
55,5.2984,0.01,8.1883,3.0812,6429543804.0,0.0,311296.0,,80.4547,200.339,33.4938,41.0,12.9136,100.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
56,5.2984,0.01,8.3465,2.9625,6429543804.0,0.0,8773632.0,,82.005,183.352,33.7108,40.0,12.6265,100.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
57,5.2984,0.01,8.1754,3.0812,6429543804.0,0.0,651264.0,,81.6018,182.746,33.7284,40.0,11.3951,99.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
58,5.2983,0.01,8.3502,2.9688,6429543804.0,0.0,2867200.0,,82.6433,187.786,33.7229,40.0,12.3855,100.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
59,5.2984,0.01,8.3683,3.0187,6429543804.0,0.0,557056.0,,82.6288,183.335,33.7229,41.0,12.1205,100.0,19628359680.0,19628359680.0,19628359680.0,0.005,0.0,0.005,0.0
