epoch,train_loss,lr,epoch_ts,training_time_seconds,inference_time_seconds,elapsed_time_seconds,cpu_usage_percent,ram_peak_bytes,disk_read_bytes,disk_write_bytes,vram_peak_bytes,gpu_power_watts_avg,gpu_power_watts_peak,gpu_temp_celsius_avg,gpu_temp_celsius_peak,gpu_util_percent_avg,gpu_util_percent_peak,gpu_mem_used_bytes_avg,gpu_mem_used_bytes_peak,gpu_vram_used_bytes,val_accuracy,val_precision,val_recall,val_f1
1,5.3052,0.1,2025-11-26 16:03:19.453,29.847,5.902,5.8685,1.9969,6429543804.0,0.0,33374208.0,,89.4584,243.37,48.5345,56.0,12.7586,100.0,16208035840.0,16208035840.0,16208035840.0,0.0062,0.0053,0.0062,0.0006
2,5.2967,0.1,2025-11-26 16:03:54.923,29.569,4.301,4.2797,1.8906,6429543804.0,0.0,86016.0,,118.3929,259.19,49.9286,58.0,17.0952,100.0,18825281536.0,18825281536.0,18825281536.0,0.0057,0.0001,0.0057,0.0002
3,5.2501,0.1,2025-11-26 16:04:23.689,24.465,5.549,5.5163,2.2219,6429543804.0,0.0,245760.0,,95.4431,247.174,49.5556,57.0,11.6667,99.0,18825281536.0,18825281536.0,18825281536.0,0.0096,0.0002,0.0096,0.0004
4,5.2169,0.1,2025-11-26 16:04:56.561,27.323,4.633,4.5979,1.7469,6429543804.0,0.0,270336.0,,109.0017,246.111,50.3778,57.0,14.4,100.0,18892390400.0,18892390400.0,18892390400.0,0.0167,0.0012,0.0167,0.0021
5,5.1732,0.1,2025-11-26 16:05:27.885,26.691,4.283,4.2485,1.8375,6429543804.0,0.0,0.0,,108.7567,256.406,50.4524,57.0,13.6667,100.0,18892390400.0,18892390400.0,18892390400.0,0.0178,0.0022,0.0178,0.0035
6,5.2092,0.1,2025-11-26 16:06:01.430,29.26,5.401,5.3675,2.2344,6429543804.0,0.0,274432.0,,82.1992,157.132,49.3396,56.0,11.0943,100.0,18892390400.0,18892390400.0,18892390400.0,0.0114,0.0007,0.0114,0.0013
7,5.206,0.1,2025-11-26 16:06:32.737,25.908,4.488,4.4537,1.7625,6429543804.0,0.0,0.0,,103.9157,246.028,50.4091,58.0,12.4091,99.0,18892390400.0,18892390400.0,18892390400.0,0.012,0.0013,0.012,0.0013
8,5.1903,0.1,2025-11-26 16:07:04.829,27.604,4.297,4.2619,1.9,6429543804.0,0.0,0.0,,106.1392,248.673,50.5476,57.0,13.5238,100.0,18892390400.0,18892390400.0,18892390400.0,0.0149,0.0014,0.0149,0.0021
9,5.1815,0.1,2025-11-26 16:07:41.859,32.732,4.112,4.0783,2.0063,6429543804.0,0.0,0.0,,116.2418,258.853,50.675,58.0,19.7,100.0,18892390400.0,18892390400.0,18892390400.0,0.0125,0.0008,0.0125,0.0012
10,5.1733,0.1,2025-11-26 16:08:17.693,31.722,5.019,4.9826,1.5938,6429543804.0,0.0,245760.0,,105.315,246.237,50.0,58.0,14.102,99.0,18892390400.0,18892390400.0,18892390400.0,0.0137,0.0014,0.0137,0.0021
11,5.1353,0.1,2025-11-26 16:08:49.044,26.333,5.622,5.586,2.2594,6429543804.0,0.0,258048.0,,98.9014,261.796,50.2182,58.0,12.2364,99.0,18892390400.0,18892390400.0,18892390400.0,0.0202,0.0041,0.0202,0.004
12,5.0782,0.1,2025-11-26 16:09:26.341,31.675,4.602,4.5662,1.8,6429543804.0,0.0,0.0,,108.4882,261.286,49.8222,58.0,17.3333,100.0,18892390400.0,18892390400.0,18892390400.0,0.0246,0.0067,0.0246,0.007
13,5.0548,0.1,2025-11-26 16:09:58.640,27.697,4.509,4.4735,1.775,6429543804.0,0.0,262144.0,,107.9753,266.607,50.4773,57.0,16.6818,100.0,18892390400.0,18892390400.0,18892390400.0,0.0199,0.0035,0.0199,0.0045
14,5.0387,0.1,2025-11-26 16:10:30.924,27.776,4.328,4.2926,1.8938,6429543804.0,0.0,0.0,,108.4219,261.085,50.619,58.0,13.9048,100.0,18892390400.0,18892390400.0,18892390400.0,0.027,0.0088,0.027,0.0091
15,5.0236,0.1,2025-11-26 16:11:03.377,28.124,5.509,5.4738,2.2719,6429543804.0,0.0,200704.0,,99.6077,256.409,49.8704,56.0,11.8519,99.0,18892390400.0,18892390400.0,18892390400.0,0.0292,0.0153,0.0292,0.014
16,5.0084,0.1,2025-11-26 16:11:41.436,32.55,4.5,4.4643,1.7844,6429543804.0,0.0,0.0,,108.8267,245.269,50.0227,57.0,17.4545,100.0,18892390400.0,18892390400.0,18892390400.0,0.0284,0.0148,0.0284,0.0109
17,4.9897,0.1,2025-11-26 16:12:14.048,28.112,4.489,4.4539,1.7812,6429543804.0,0.0,0.0,,109.7476,253.988,50.5227,58.0,14.0,99.0,18892390400.0,18892390400.0,18892390400.0,0.023,0.0144,0.023,0.0112
18,4.9919,0.1,2025-11-26 16:12:50.822,32.285,4.297,4.2618,1.8687,6429543804.0,0.0,0.0,,105.314,189.205,49.9286,56.0,13.0952,99.0,18892390400.0,18892390400.0,18892390400.0,0.0386,0.0255,0.0386,0.0183
19,4.9545,0.1,2025-11-26 16:13:27.107,31.988,5.601,5.5642,2.2,6429543804.0,0.0,245760.0,,102.8809,242.167,49.8545,57.0,13.1273,100.0,18892390400.0,18892390400.0,18892390400.0,0.0446,0.0271,0.0446,0.0228
20,4.9334,0.1,2025-11-26 16:13:58.975,26.267,5.426,5.3883,2.3125,6429543804.0,0.0,229376.0,,107.5613,262.143,50.3019,56.0,11.6415,94.0,18892390400.0,18892390400.0,18892390400.0,0.0464,0.0287,0.0464,0.0227
21,4.9011,0.1,2025-11-26 16:14:31.473,27.072,5.71,5.6727,2.1875,6429543804.0,0.0,241664.0,,101.6716,243.576,50.0,56.0,11.9286,100.0,18894487552.0,18894487552.0,18894487552.0,0.0521,0.0315,0.0521,0.025
