epoch,train_loss,lr,epoch_ts,training_time_seconds,inference_time_seconds,elapsed_time_seconds,cpu_usage_percent,ram_peak_bytes,disk_read_bytes,disk_write_bytes,vram_peak_bytes,gpu_power_watts_avg,gpu_power_watts_peak,gpu_temp_celsius_avg,gpu_temp_celsius_peak,gpu_util_percent_avg,gpu_util_percent_peak,gpu_mem_used_bytes_avg,gpu_mem_used_bytes_peak,gpu_vram_used_bytes,val_accuracy,val_precision,val_recall,val_f1
1,5.2579,0.01,2025-11-28 17:36:00.040,259.367,5.832,5.7957,4.1125,5292983940.0,0.0,2351104.0,,287.7305,347.8,60.7895,65.0,79.9649,100.0,22267738147.9298,22268805120.0,22268805120.0,0.0143,0.0032,0.0143,0.002
2,5.204,0.01,2025-11-28 17:40:23.229,257.357,5.431,5.3962,3.8156,5292983940.0,0.0,151552.0,,305.5321,348.373,61.7358,65.0,87.0755,100.0,22268805120.0,22268805120.0,22268805120.0,0.0242,0.0098,0.0242,0.0082
3,5.075,0.01,2025-11-28 17:44:46.383,257.723,5.716,5.6914,3.9156,5292983940.0,0.0,151552.0,,293.4273,348.891,61.0179,65.0,82.3929,100.0,22268805120.0,22268805120.0,22268805120.0,0.0422,0.0307,0.0422,0.0209
4,4.8969,0.01,2025-11-28 17:49:09.526,257.428,5.372,5.3337,3.9031,5292983940.0,0.0,167936.0,,308.784,347.53,62.0,65.0,88.9423,100.0,22268805120.0,22268805120.0,22268805120.0,0.0636,0.0443,0.0636,0.0368
5,4.7541,0.01,2025-11-28 17:53:32.446,257.547,5.302,5.2643,3.8937,5292983940.0,0.0,151552.0,,306.0129,345.824,62.3077,65.0,87.0,100.0,22268805120.0,22268805120.0,22268805120.0,0.0903,0.0775,0.0903,0.0603
6,4.6385,0.01,2025-11-28 17:57:55.337,257.589,5.375,5.3372,3.875,5292983940.0,0.0,167936.0,,305.5106,345.445,61.5962,64.0,87.6154,100.0,22403022848.0,22403022848.0,22403022848.0,0.111,0.0941,0.111,0.0777
7,4.5241,0.01,2025-11-28 18:02:18.564,257.853,5.729,5.6919,4.2156,5292983940.0,0.0,151552.0,,287.2644,347.263,60.75,64.0,79.7679,100.0,22403022848.0,22403022848.0,22403022848.0,0.1335,0.1211,0.1335,0.0997
8,4.4012,0.01,2025-11-28 18:06:41.969,257.676,5.387,5.352,3.8656,5292983940.0,0.0,151552.0,,305.8775,348.32,61.8269,65.0,85.8846,100.0,22403022848.0,22403022848.0,22403022848.0,0.1701,0.1686,0.1701,0.1371
9,4.2996,0.01,2025-11-28 18:11:04.872,257.515,5.581,5.5421,3.7375,5292983940.0,0.0,151552.0,,294.876,346.127,61.2593,65.0,83.5556,100.0,22403022848.0,22403022848.0,22403022848.0,0.191,0.1953,0.191,0.16
10,4.2041,0.01,2025-11-28 18:15:28.363,257.91,5.421,5.3835,4.4688,5292983940.0,0.0,233472.0,,302.7912,346.61,61.4906,64.0,85.4528,100.0,24114298880.0,24114298880.0,24114298880.0,0.2236,0.2187,0.2236,0.1932
