epoch,train_loss,lr,epoch_ts,training_time_seconds,inference_time_seconds,elapsed_time_seconds,cpu_usage_percent,ram_peak_bytes,disk_read_bytes,disk_write_bytes,vram_peak_bytes,gpu_power_watts_avg,gpu_power_watts_peak,gpu_temp_celsius_avg,gpu_temp_celsius_peak,gpu_util_percent_avg,gpu_util_percent_peak,gpu_mem_used_bytes_avg,gpu_mem_used_bytes_peak,gpu_vram_used_bytes,val_accuracy,val_precision,val_recall,val_f1
1,4.9974,0.1,2025-11-26 20:50:21.054,100.279,4.557,4.5192,3.45,3290121708.0,0.0,77824.0,,254.6128,367.493,60.3864,66.0,62.2273,100.0,22279290880.0,22279290880.0,22279290880.0,0.0735,0.0707,0.0735,0.0476
2,4.6125,0.1,2025-11-26 20:52:03.277,97.665,4.329,4.2916,4.2656,3290121708.0,0.0,16384.0,,264.4499,369.77,60.9762,67.0,67.0,100.0,22514171904.0,22514171904.0,22514171904.0,0.1015,0.1053,0.1015,0.0733
3,4.3077,0.1,2025-11-26 20:53:45.347,97.741,4.122,4.0965,3.7844,3290121708.0,0.0,0.0,,273.8697,369.357,62.0,68.0,69.5,100.0,22514171904.0,22514171904.0,22514171904.0,0.1508,0.2079,0.1508,0.1234
4,4.0286,0.1,2025-11-26 20:55:27.110,97.638,4.326,4.2894,4.225,3290121708.0,0.0,122880.0,,269.2685,370.426,61.381,67.0,68.7381,100.0,22514171904.0,22514171904.0,22514171904.0,0.1951,0.2614,0.1951,0.1738
5,3.8301,0.1,2025-11-26 20:57:09.146,97.714,4.376,4.3382,4.1906,3290121708.0,0.0,0.0,,267.8426,371.399,61.4762,67.0,67.0476,100.0,22514171904.0,22514171904.0,22514171904.0,0.2083,0.3166,0.2083,0.1965
6,3.6866,0.1,2025-11-26 20:58:50.856,97.33,3.717,3.6801,3.9813,3290121708.0,0.0,0.0,,294.885,371.576,63.4444,68.0,78.0833,100.0,22514171904.0,22514171904.0,22514171904.0,0.2665,0.3668,0.2665,0.2547
7,3.5707,0.1,2025-11-26 21:00:32.084,97.515,4.276,4.2393,4.0844,3290121708.0,0.0,20480.0,,270.3771,370.432,61.4878,67.0,68.878,100.0,22514171904.0,22514171904.0,22514171904.0,0.2836,0.3814,0.2836,0.2654
8,3.4832,0.1,2025-11-26 21:02:14.157,97.797,4.232,4.194,3.5156,3290121708.0,0.0,0.0,,276.0291,372.045,61.6585,68.0,66.5122,100.0,22514171904.0,22514171904.0,22514171904.0,0.2917,0.3879,0.2917,0.273
9,3.4234,0.1,2025-11-26 21:03:55.966,97.576,4.215,4.1781,3.5594,3290121708.0,0.0,180224.0,,277.178,370.395,61.7561,67.0,69.6585,100.0,22514171904.0,22514171904.0,22514171904.0,0.3363,0.4259,0.3363,0.3324
10,3.3569,0.1,2025-11-26 21:05:37.712,97.531,4.772,4.7342,3.8531,3290121708.0,0.0,163840.0,,244.6532,369.702,60.2391,67.0,60.8913,100.0,22514171904.0,22514171904.0,22514171904.0,0.2916,0.4539,0.2916,0.2872
